,Permit Number,Date,Status,Address,Permit Type,County,State
16,CBPR-050137-2020,2020-12-07,Withdrawn,1402 PLEASANTS RD WENDELL 27591,"Commercial Pool, Spa or Hot Tub",wake,NC
17,CBPR-048855-2020,2020-11-10,Withdrawn,525 US 70 HWY E GARNER 27529,"Commercial Pool, Spa or Hot Tub",wake,NC
18,CBPR-056667-2021,2021-03-30,Withdrawn,1050 S MAIN ST HOLLY SPRINGS 27540,"Commercial Pool, Spa or Hot Tub",wake,NC
19,CBPR-056717-2021,2021-03-31,Withdrawn,5149 MONETA LN APEX 27539,"Commercial Pool, Spa or Hot Tub",wake,NC
20,CBPR-053940-2021,2021-02-17,Withdrawn,2408 DUCK POND CIR MORRISVILLE 27560,"Commercial Pool, Spa or Hot Tub",wake,NC
21,CBPR-053761-2021,2021-02-15,Withdrawn,2408 DUCK POND CIR MORRISVILLE 27560,"Commercial Pool, Spa or Hot Tub",wake,NC
22,CBPR-054517-2021,2021-02-26,Withdrawn,0 TRAILWOOD DR RALEIGH 27606,"Commercial Pool, Spa or Hot Tub",wake,NC
23,CBPR-053615-2021,2021-02-11,Withdrawn,2325 SANCTUARY DR RALEIGH 27606,"Commercial Pool, Spa or Hot Tub",wake,NC
24,CBPR-056993-2021,2021-04-05,Submitted,709 FLOWER MANOR DR WENDELL 27591,"Commercial Pool, Spa or Hot Tub",wake,NC
25,CBPR-057399-2021,2021-04-12,Withdrawn,3101 COMPATIBLE WAY RALEIGH 27603,"Commercial Pool, Spa or Hot Tub",wake,NC
26,CBPR-055549-2021,2021-03-15,Withdrawn,101 POE DR RALEIGH 27610,"Commercial Pool, Spa or Hot Tub",wake,NC
27,CBPR-033187-2020,2020-02-14,Issued,929 SEA HOLLY DR ZEBULON NC 27597,"Commercial Pool, Spa or Hot Tub",wake,NC
28,0150331,2014-07-31,Complete,00494 KNIGHTDALE STATION RUN,"Commercial Pool, Spa or Hot Tub",wake,NC
29,CBPR-019172-2019,2019-05-28,Withdrawn,,"Commercial Pool, Spa or Hot Tub",wake,NC
30,CBPR-026885-2019,2019-10-11,Withdrawn,0 FORBES RD WAKE FOREST 27587,"Commercial Pool, Spa or Hot Tub",wake,NC
31,0112264,2011-05-15,Complete,06717 REX RD,"Commercial Pool, Spa or Hot Tub",wake,NC
32,0110403,2010-08-26,Complete,07100 GREEN DRAKE DR,"Commercial Pool, Spa or Hot Tub",wake,NC
33,CBPR-038864-2020,2020-06-01,Withdrawn,900 S MAIN ST FUQUAY VARINA 27526,"Commercial Pool, Spa or Hot Tub",wake,NC
34,CBPR-011131-2018,2018-12-20,Withdrawn,600 BILYEU ST RALEIGH 27606,"Commercial Pool, Spa or Hot Tub",wake,NC
35,CBPR-016448-2019,2019-04-09,Withdrawn,100 CAVERLY CT FUQUAY VARINA 27526,"Commercial Pool, Spa or Hot Tub",wake,NC
36,0131401,2012-12-12,Complete,1305 HAUSER LAKE RD,"Commercial Pool, Spa or Hot Tub",wake,NC
37,0132414,2013-04-04,Complete,4000 WEAVERS POND DR,"Commercial Pool, Spa or Hot Tub",wake,NC
38,CBPR-060225-2021,2021-05-24,Withdrawn,3908 AUTUMN CREEK DR FUQUAY VARINA 27526,"Commercial Pool, Spa or Hot Tub",wake,NC
39,CBPR-006540-2018,2018-09-25,Withdrawn,1017 MASSENBURG RD,"Commercial Pool, Spa or Hot Tub",wake,NC
40,0150847,2014-09-24,Complete,00328 VINTAGE POINT LN,"Commercial Pool, Spa or Hot Tub",wake,NC
41,0173754,2017-05-08,Complete,06018 STONY FALLS WAY,"Commercial Pool, Spa or Hot Tub",wake,NC
42,0170828,2016-09-13,Complete,00485 TRAEBERT CIR,"Commercial Pool, Spa or Hot Tub",wake,NC
43,CBPR-039876-2020,2020-06-17,Withdrawn,4027 DAVIS DR MORRISVILLE 27560,"Commercial Pool, Spa or Hot Tub",wake,NC
44,CBPR-031459-2020,2020-01-14,Withdrawn,3951 SUMNER BLVD RALEIGH 27616,"Commercial Pool, Spa or Hot Tub",wake,NC
45,0163123,2016-04-04,Complete,313 MARBELLA DR,"Commercial Pool, Spa or Hot Tub",wake,NC
46,CBPR-027247-2019,2019-10-17,Withdrawn,208 LEDGESTONE WAY CARY 27519,"Commercial Pool, Spa or Hot Tub",wake,NC
47,0180573,2017-08-10,Complete,1100 CANNONBALL RUN KNIGHTDALE NC 27545,"Commercial Pool, Spa or Hot Tub",wake,NC
48,CBPR-028820-2019,2019-11-13,Withdrawn,9805 KOUPELA DR RALEIGH 27614,"Commercial Pool, Spa or Hot Tub",wake,NC
49,CBPR-047897-2020,2020-10-26,Withdrawn,701 ROYAL ANNE LN RALEIGH 27615,"Commercial Pool, Spa or Hot Tub",wake,NC
50,CBPR-041934-2020,2020-07-20,Withdrawn,4204 SIX FORKS RD RALEIGH 27609,"Commercial Pool, Spa or Hot Tub",wake,NC
51,CBPR-033326-2020,2020-02-18,Complete,540 HAYWOOD GLEN DR KNIGHTDALE 27545,"Commercial Pool, Spa or Hot Tub",wake,NC
52,0173542,2017-04-24,Issued,01420 YARDLEY DR,"Commercial Pool, Spa or Hot Tub",wake,NC
53,CBPR-007934-2018,2018-10-18,Withdrawn,,"Commercial Pool, Spa or Hot Tub",wake,NC
54,CBPR-005419-2018,2018-09-04,Withdrawn,4042 BERMAN EDGE RD HOLLY SPRINGS 27540,"Commercial Pool, Spa or Hot Tub",wake,NC
55,CBPR-007630-2018,2018-10-12,Withdrawn,3025 CURLING CREEK DR APEX 27502,"Commercial Pool, Spa or Hot Tub",wake,NC
56,CBPR-027661-2019,2019-10-25,Withdrawn,3931 MACAW ST RALEIGH 27617,"Commercial Pool, Spa or Hot Tub",wake,NC
57,CBPR-021858-2019,2019-07-15,Withdrawn,4901 RALEIGH BEACH RD RALEIGH 27610,"Commercial Pool, Spa or Hot Tub",wake,NC
58,CBPR-013540-2019,2019-02-12,Withdrawn,7000 REGENCY PKWY CARY 27518,"Commercial Pool, Spa or Hot Tub",wake,NC
59,CBPR-016444-2019,2019-04-09,Withdrawn,100 CAVERLY CT FUQUAY VARINA 27526,"Commercial Pool, Spa or Hot Tub",wake,NC
60,CBPR-049118-2020,2020-11-16,Withdrawn,7801 CADDY RD RALEIGH 27603,"Commercial Pool, Spa or Hot Tub",wake,NC
61,CBPR-050208-2020,2020-12-08,Withdrawn,0 HOLT RD APEX 27523,"Commercial Pool, Spa or Hot Tub",wake,NC
62,CBPR-041523-2020,2020-07-13,Issued,405 BARRINGTON RUN BLVD Unit: POOL ZEBULON NC 27597,"Commercial Pool, Spa or Hot Tub",wake,NC
63,CBPR-042611-2020,2020-07-30,Withdrawn,6328 ABBY ROSE CT ZEBULON 27597,"Commercial Pool, Spa or Hot Tub",wake,NC
64,CBPR-053711-2021,2021-02-12,Withdrawn,2408 DUCK POND CIR MORRISVILLE 27560,"Commercial Pool, Spa or Hot Tub",wake,NC
65,CBPR-055787-2021,2021-03-17,Withdrawn,1000 TRAILWOOD DR RALEIGH 27606,"Commercial Pool, Spa or Hot Tub",wake,NC
66,CBPR-019911-2019,2019-06-07,Withdrawn,0 AUBURN KNIGHTDALE RD RALEIGH 27610,"Commercial Pool, Spa or Hot Tub",wake,NC
67,CBPR-006538-2018,2018-09-25,Withdrawn,0 TRINITY CREEK DR HOLLY SPRINGS 27540,"Commercial Pool, Spa or Hot Tub",wake,NC
68,0120700,2011-10-05,Complete,00202 HINTON VIEW LN,"Commercial Pool, Spa or Hot Tub",wake,NC
69,CBPR-026961-2019,2019-10-14,Withdrawn,1125 HATCHES POND LN CARY 27519,"Commercial Pool, Spa or Hot Tub",wake,NC
70,CBPR-028162-2019,2019-11-04,Withdrawn,516 N WEST ST RALEIGH 27603,"Commercial Pool, Spa or Hot Tub",wake,NC
71,CBPR-028067-2019,2019-11-01,Withdrawn,516 N WEST ST RALEIGH 27603,"Commercial Pool, Spa or Hot Tub",wake,NC
72,0110927,2010-11-08,Expired,9312 RUBY FALLS DR,"Commercial Pool, Spa or Hot Tub",wake,NC
73,0140858,2013-09-22,Complete,250 VIRGINIA WATER DR,"Commercial Pool, Spa or Hot Tub",wake,NC
74,CBPR-004026-2018,2018-08-07,Withdrawn,3025 CURLING CREEK DR APEX 27502,"Commercial Pool, Spa or Hot Tub",wake,NC
75,CBPR-008412-2018,2018-10-26,Withdrawn,6032 BEALE LOOP RALEIGH 27616,"Commercial Pool, Spa or Hot Tub",wake,NC
76,CBPR-007890-2018,2018-10-17,Complete,114 OGDEN POND PL ZEBULON NC 27597,"Commercial Pool, Spa or Hot Tub",wake,NC
77,CBPR-041948-2020,2020-07-20,Withdrawn,4204 SIX FORKS RD RALEIGH 27609,"Commercial Pool, Spa or Hot Tub",wake,NC
78,CBPR-048839-2020,2020-11-10,Withdrawn,5701 HILLSBOROUGH ST RALEIGH 27606,"Commercial Pool, Spa or Hot Tub",wake,NC
79,CBPR-051082-2020,2020-12-28,Withdrawn,9920 JAMISON VALLEY DR RALEIGH 27617,"Commercial Pool, Spa or Hot Tub",wake,NC
80,CBPR-053434-2021,2021-02-09,Withdrawn,2805 PINEY GROVE WILBON RD FUQUAY VARINA 27526,"Commercial Pool, Spa or Hot Tub",wake,NC
0,F170581,2017-07-23,Complete,1580 DUNN RD Unit: CLHSE RALEIGH NC 276149308,Public Pool Permit,wake,NC
1,HSIPOP-018347-2019,2019-05-13,Withdrawn,5904 O C HESTER RD HOLLY SPRINGS 27540,Public Pool Permit,wake,NC
2,F170635,2017-08-10,Complete,00000 KNIGHTDALE BLVD NC,Public Pool Permit,wake,NC
3,HSIPOP-010763-2018,2018-12-13,On Hold,,Public Pool Permit,wake,NC
4,HSIPOP-011189-2018,2018-12-21,Issued,101 YMCA DR CARY 27513,Public Pool Permit,wake,NC
5,F150029,2015-01-20,Complete,00000 AQUARIAN POOLS OF COLUMBI RALEIGH NC 27606,Public Pool Permit,wake,NC
6,F150786,2015-10-22,Complete,00000 UNKNOWN ST WAKE FOREST NC 27587,Public Pool Permit,wake,NC
7,F150862,2015-11-23,Complete,02515 LANDMARK DR RALEIGH NC 27607,Public Pool Permit,wake,NC
8,HSIPOP-037474-2020,2020-05-05,Void,,Public Pool Permit,wake,NC
9,F160136,2016-04-07,Complete,314 W JONES ST Unit: PKDK RALEIGH NC 276031585,Public Pool Permit,wake,NC
10,HSIPOP-018258-2019,2019-05-10,Void,,Public Pool Permit,wake,NC
11,F130768,2013-12-17,In Review,05600 LOCH RAVEN PKWY KNIGHTDALE NC 27545,Public Pool Permit,wake,NC
12,F130246,2013-04-16,Issued,00000 JONESVILLE & VIRGINIA WAT ROLESVILLE NC 99999,Public Pool Permit,wake,NC
13,F140349,2014-06-02,Issued,04500 CAMERON VALLEY PRK CARY NC 27511,Public Pool Permit,wake,NC
14,F140646,2014-09-16,In Review,00000 LITTLE BRIER CREEK LN GREENSBORO NC 27406,Public Pool Permit,wake,NC
15,F140465,2014-07-21,Issued,00000 SMITH & STEPHENSON RD APEX NC 27858,Public Pool Permit,wake,NC
16,F140559,2014-08-14,Issued,00101 SHAW BORO LN,Public Pool Permit,wake,NC
17,F130593,2013-09-19,Issued,00000 MAP ON SP-1 RALEIGH NC 27609,Public Pool Permit,wake,NC
18,F130467,2013-07-31,Issued,20000 BRADFORD GREEN SQUARE CARY NC 27513,Public Pool Permit,wake,NC
19,F130594,2013-09-19,Issued,20000 BRADFORD GREEN SQ CARY NC 27511,Public Pool Permit,wake,NC
20,F170319,2017-04-17,Complete,99999 GREEN LEVEL CHURCH RD APEX NC 27502,Public Pool Permit,wake,NC
21,F170148,2017-02-20,Complete,99999 W HARGETT ST RALEIGH NC 27601,Public Pool Permit,wake,NC
22,HSIPOP-008683-2018,2018-10-31,In Review,4100 GLENWOOD AVE RALEIGH 27612,Public Pool Permit,wake,NC
23,HSIPOP-015695-2019,2019-03-26,Approved,800 ORLEANS PL RALEIGH 27609,Public Pool Permit,wake,NC
24,HSIPOP-015979-2019,2019-04-01,Approved,2421 LANDMARK DR RALEIGH NC 276073393,Public Pool Permit,wake,NC
25,HSIPOP-016215-2019,2019-04-04,Void,400 W NORTH ST RALEIGH 27603,Public Pool Permit,wake,NC
26,F170839,2017-10-12,Issued,1008 PARKSIDE MAIN ST CARY NC 275196949,Public Pool Permit,wake,NC
27,HSIPOP-032312-2020,2020-01-29,Issued,4824 YADKIN DR RALEIGH 27609,Public Pool Permit,wake,NC
28,F170470,2017-06-15,Issued,01505 HILLSBOROUGH ST RALEIGH NC 27605,Public Pool Permit,wake,NC
29,F170409,2017-05-25,Complete,01401 EVANS RD CARY NC 27513,Public Pool Permit,wake,NC
30,F170552,2017-07-11,Complete,02267 CHATTERING LORY LN APEX NC 27539,Public Pool Permit,wake,NC
31,HSIPOP-009884-2018,2018-11-26,Complete,800 N JUDD PKWY NE FUQUAY VARINA 27526,Public Pool Permit,wake,NC
32,HSIPOP-037898-2020,2020-05-13,Application Incomplete,485 TRAEBERT CIR KNIGHTDALE 27545,Public Pool Permit,wake,NC
33,HSIPOP-013039-2019,2019-02-02,Void,1909 CRYSTAL HILL CT RALEIGH 27604,Public Pool Permit,wake,NC
34,HSIPOP-033010-2020,2020-02-12,Issued,2931 JORDAN POINTE BLVD NEW HILL 27562,Public Pool Permit,wake,NC
35,F170299,2017-04-04,Issued,00555 CROSSROADS BLVD CARY NC 27513,Public Pool Permit,wake,NC
36,F160716,2016-10-11,Complete,00400 GRAND HIGHCLERE WAY APEX NC 27523,Public Pool Permit,wake,NC
37,HSIPOP-015128-2019,2019-03-14,Complete,1310 OGLETHORPE AVE RALEIGH NC 276072721,Public Pool Permit,wake,NC
38,HSIPOP-008631-2018,2018-10-30,Complete,6032 BEALE LOOP RALEIGH 27616,Public Pool Permit,wake,NC
39,HSIPOP-006625-2018,2018-09-26,Void,5433 DEN HEIDER WAY RALEIGH NC 276069584,Public Pool Permit,wake,NC
40,F180217,2018-03-05,Complete,7740 MIDTOWN MARKET AVE RALEIGH NC 276168082,Public Pool Permit,wake,NC
41,HSIPOP-023273-2019,2019-08-07,Void,1112 SKY WAVE TRL RALEIGH 27603,Public Pool Permit,wake,NC
42,F180066,2018-01-23,Complete,4000 COLEWAY DR HOLLY SPRINGS NC 27540,Public Pool Permit,wake,NC
43,HSIPOP-012817-2019,2019-01-29,Complete,12051 RETAIL DR WAKE FOREST 27587,Public Pool Permit,wake,NC
44,F160267,2016-04-06,Complete,1020 LOWER SHILOH WAY MORRISVILLE NC 275605426,Public Pool Permit,wake,NC
45,F170982,2017-12-07,Complete,2300 BRISTOL CREEK DR MORRISVILLE NC 27560,Public Pool Permit,wake,NC
46,F170701,2017-08-29,Complete,1001 PARK COMMONS DR KNIGHTDALE NC 27545,Public Pool Permit,wake,NC
47,HSIPOP-038554-2020,2020-05-26,Issued,6114 CORPORATE RIDGE RD RALEIGH 27607,Public Pool Permit,wake,NC
48,HSIPOP-042496-2020,2020-07-28,On Hold,4800 WATERFORD POINT DR RALEIGH 27612,Public Pool Permit,wake,NC
49,HSIPOP-041375-2020,2020-07-10,Issued,530 BRIDLE RIDGE LN RALEIGH 27609,Public Pool Permit,wake,NC
50,HSIPOP-036006-2020,2020-04-06,Issued,0 THE LAKES DR RALEIGH 27609,Public Pool Permit,wake,NC
51,HSIPOP-009885-2018,2018-11-26,Complete,3180 HORTON RIDGE BLVD NEW HILL NC,Public Pool Permit,wake,NC
52,HSIPOP-007933-2018,2018-10-17,Complete,0 APEX BARBECUE RD APEX 27502,Public Pool Permit,wake,NC
53,HSIPOP-012788-2019,2019-01-29,Complete,600 CASTLEPOINTE DR FUQUAY VARINA NC 275263824,Public Pool Permit,wake,NC
54,HSIPOP-010002-2018,2018-11-27,Complete,500 ST ALBANS DR RALEIGH 27609,Public Pool Permit,wake,NC
55,HSIPOP-033525-2020,2020-02-20,Issued,275 CONVENTION DR CARY 27511,Public Pool Permit,wake,NC
56,HSIPOP-023648-2019,2019-08-13,Complete,109 GORGES PARK DR HOLLY SPRINGS 27540,Public Pool Permit,wake,NC
57,HSIPOP-045548-2020,2020-09-16,Issued,2321 GRANT AVE RALEIGH NC 276082056,Public Pool Permit,wake,NC
58,F150793,2015-10-28,Complete,02540 S BLUFFS VIEW DR RALEIGH NC 27610,Public Pool Permit,wake,NC
59,F130660,2013-10-22,Issued,00425 N BOYLAN ST RALEIGH NC 28134,Public Pool Permit,wake,NC
60,F140019,2014-01-13,In Review,08515 FALLS OF NEUSE RD RALEIGH NC 27615,Public Pool Permit,wake,NC
61,F140024,2014-01-13,In Review,08515 FALLS OF NEUSE RD RALEIGH NC 27615,Public Pool Permit,wake,NC
62,F120712,2012-12-13,Issued,01300 RIGGINS MILL RD CARY NC 27519,Public Pool Permit,wake,NC
63,HSIPOP-045531-2020,2020-09-16,In Review,501 E WHITAKER MILL RD RALEIGH 27608,Public Pool Permit,wake,NC
64,F160665,2016-09-15,Complete,02110 AVERSBORO RD GARNER NC 27529,Public Pool Permit,wake,NC
65,F160180,2016-03-06,Issued,06841 CREEKWATER DR RALEIGH NC 27616,Public Pool Permit,wake,NC
66,F160220,2016-03-20,Complete,00914 SHELLBROOK CT RALEIGH NC 27609,Public Pool Permit,wake,NC
67,F130003,2013-01-03,Issued,01305 HAUSER LAKE RD KNIGHTDALE NC 27540,Public Pool Permit,wake,NC
68,F170238,2017-03-16,Complete,03025 ALSTON MANOR ST CARY NC 27513,Public Pool Permit,wake,NC
69,F180304,2018-04-01,In Review,05070 NEW HOPE RD RALEIGH NC 99999,Public Pool Permit,wake,NC
70,F130587,2013-09-18,Complete,01013 JONES FRANKLIN RD RALEIGH NC 27606,Public Pool Permit,wake,NC
71,F150663,2015-08-31,Complete,03531 HORTON ST RALEIGH NC 27607,Public Pool Permit,wake,NC
72,F160092,2016-02-03,Complete,00108 PITTARD SEARS RD CARY NC 27713,Public Pool Permit,wake,NC
73,F120704,2012-12-12,Issued,01029 HARVEST POINT DR FUQUAY VARINA NC 99999,Public Pool Permit,wake,NC
74,F180367,2018-04-22,In Review,07406 CHAPEL HILL RD RALEIGH NC 27607,Public Pool Permit,wake,NC
75,HSIPOP-028458-2019,2019-10-21,Complete,208 LEDGESTONE WAY CARY 27519,Public Pool Permit,wake,NC
76,F150095,2015-02-10,Complete,00650 W NORTH ST RALEIGH NC 27616,Public Pool Permit,wake,NC
77,HSIPOP-029704-2019,2019-12-03,Issued,3000 DOMINION RIDGE CIR MORRISVILLE 27560,Public Pool Permit,wake,NC
78,F130184,2013-03-24,Issued,07416 ROBERTS RD CARY NC 99999,Public Pool Permit,wake,NC
79,HSIPOP-003722-2018,2018-08-01,Complete,215 BRIGHTMORE DR CARY 27518,Public Pool Permit,wake,NC
80,F180552,2018-06-21,Complete,215 BRIGHTMORE DR CARY NC 27518,Public Pool Permit,wake,NC
81,HSIPOP-042748-2020,2020-07-31,Issued,1505 WERRINGTON DR HOLLY SPRINGS 27540,Public Pool Permit,wake,NC
82,HSIPOP-032502-2020,2020-02-03,Issued,1000 SWEET ALMOND DR HOLLY SPRINGS NC 27540,Public Pool Permit,wake,NC
83,HSIPOP-055648-2021,2021-03-16,In Review,101 POE DR RALEIGH 27610,Public Pool Permit,wake,NC
84,HSIPOP-055166-2021,2021-03-08,Issued,11616 JAYMAN DR RALEIGH 27617,Public Pool Permit,wake,NC
85,HSIPOP-028293-2019,2019-11-05,Issued,516 N WEST ST RALEIGH 27603,Public Pool Permit,wake,NC
86,HSIPOP-057475-2021,2021-04-13,Withdrawn,3101 COMPATIBLE WAY RALEIGH 27603,Public Pool Permit,wake,NC
87,HSIPOP-056440-2021,2021-03-27,Withdrawn,0 WADE AVE RALEIGH 27607,Public Pool Permit,wake,NC
88,HSIPOP-010485-2018,2018-12-06,Issued,305 OBERLIN RD RALEIGH NC 276051607,Public Pool Permit,wake,NC
89,HSIPOP-052765-2021,2021-01-28,In Review,1901 N HARRISON AVE CARY 27513,Public Pool Permit,wake,NC
90,HSIPOP-053280-2021,2021-02-05,In Review,150 COLLINS CROSSING RD HOLLY SPRINGS NC 27540,Public Pool Permit,wake,NC
91,HSIPOP-016746-2019,2019-04-15,Issued,5701 HONEYCUTT RD HOLLY SPRINGS 27540,Public Pool Permit,wake,NC
92,HSIPOP-013153-2019,2019-02-05,Issued,1613 SWEETCLOVER DR WAKE FOREST 27587,Public Pool Permit,wake,NC
93,F150798,2015-11-01,Complete,01120 LEDSON LN CARY NC 27511,Public Pool Permit,wake,NC
94,F170676,2017-08-22,Complete,01301 MONTEREY BAY DR WAKE FOREST NC 27587,Public Pool Permit,wake,NC
95,HSIPOP-012888-2019,2019-01-30,Void,,Public Pool Permit,wake,NC
96,HSIPOP-018935-2019,2019-05-22,Void,,Public Pool Permit,wake,NC
97,HSIPOP-003291-2018,2018-07-25,Void,3908 RUSTIC MILL DR APEX 27539,Public Pool Permit,wake,NC
98,HSIPOP-013735-2019,2019-02-14,Approved,0 COMPETITION RD RALEIGH 27603,Public Pool Permit,wake,NC
99,F160732,2016-10-18,Issued,02599 EVANS RD MORRISVILLE NC 27650,Public Pool Permit,wake,NC
100,F170581,2017-07-23,Complete,1580 DUNN RD Unit: CLHSE RALEIGH NC 276149308,Public Pool Permit,wake,NC
101,HSIPOP-018347-2019,2019-05-13,Withdrawn,5904 O C HESTER RD HOLLY SPRINGS 27540,Public Pool Permit,wake,NC
102,F170635,2017-08-10,Complete,00000 KNIGHTDALE BLVD NC,Public Pool Permit,wake,NC
103,HSIPOP-010763-2018,2018-12-13,On Hold,,Public Pool Permit,wake,NC
104,HSIPOP-011189-2018,2018-12-21,Issued,101 YMCA DR CARY 27513,Public Pool Permit,wake,NC
105,F150029,2015-01-20,Complete,00000 AQUARIAN POOLS OF COLUMBI RALEIGH NC 27606,Public Pool Permit,wake,NC
106,F150786,2015-10-22,Complete,00000 UNKNOWN ST WAKE FOREST NC 27587,Public Pool Permit,wake,NC
107,F150862,2015-11-23,Complete,02515 LANDMARK DR RALEIGH NC 27607,Public Pool Permit,wake,NC
108,HSIPOP-037474-2020,2020-05-05,Void,,Public Pool Permit,wake,NC
109,F160136,2016-04-07,Complete,314 W JONES ST Unit: PKDK RALEIGH NC 276031585,Public Pool Permit,wake,NC
110,HSIPOP-018258-2019,2019-05-10,Void,,Public Pool Permit,wake,NC
111,F130768,2013-12-17,In Review,05600 LOCH RAVEN PKWY KNIGHTDALE NC 27545,Public Pool Permit,wake,NC
112,F130246,2013-04-16,Issued,00000 JONESVILLE & VIRGINIA WAT ROLESVILLE NC 99999,Public Pool Permit,wake,NC
113,F140349,2014-06-02,Issued,04500 CAMERON VALLEY PRK CARY NC 27511,Public Pool Permit,wake,NC
114,F140646,2014-09-16,In Review,00000 LITTLE BRIER CREEK LN GREENSBORO NC 27406,Public Pool Permit,wake,NC
115,F140465,2014-07-21,Issued,00000 SMITH & STEPHENSON RD APEX NC 27858,Public Pool Permit,wake,NC
116,F140559,2014-08-14,Issued,00101 SHAW BORO LN,Public Pool Permit,wake,NC
117,F130593,2013-09-19,Issued,00000 MAP ON SP-1 RALEIGH NC 27609,Public Pool Permit,wake,NC
118,F130467,2013-07-31,Issued,20000 BRADFORD GREEN SQUARE CARY NC 27513,Public Pool Permit,wake,NC
119,F130594,2013-09-19,Issued,20000 BRADFORD GREEN SQ CARY NC 27511,Public Pool Permit,wake,NC
120,F170319,2017-04-17,Complete,99999 GREEN LEVEL CHURCH RD APEX NC 27502,Public Pool Permit,wake,NC
121,F170148,2017-02-20,Complete,99999 W HARGETT ST RALEIGH NC 27601,Public Pool Permit,wake,NC
122,HSIPOP-008683-2018,2018-10-31,In Review,4100 GLENWOOD AVE RALEIGH 27612,Public Pool Permit,wake,NC
123,HSIPOP-015695-2019,2019-03-26,Approved,800 ORLEANS PL RALEIGH 27609,Public Pool Permit,wake,NC
124,HSIPOP-015979-2019,2019-04-01,Approved,2421 LANDMARK DR RALEIGH NC 276073393,Public Pool Permit,wake,NC
125,HSIPOP-016215-2019,2019-04-04,Void,400 W NORTH ST RALEIGH 27603,Public Pool Permit,wake,NC
126,F170839,2017-10-12,Issued,1008 PARKSIDE MAIN ST CARY NC 275196949,Public Pool Permit,wake,NC
127,HSIPOP-032312-2020,2020-01-29,Issued,4824 YADKIN DR RALEIGH 27609,Public Pool Permit,wake,NC
128,F170470,2017-06-15,Issued,01505 HILLSBOROUGH ST RALEIGH NC 27605,Public Pool Permit,wake,NC
129,F170409,2017-05-25,Complete,01401 EVANS RD CARY NC 27513,Public Pool Permit,wake,NC
130,F170552,2017-07-11,Complete,02267 CHATTERING LORY LN APEX NC 27539,Public Pool Permit,wake,NC
131,HSIPOP-009884-2018,2018-11-26,Complete,800 N JUDD PKWY NE FUQUAY VARINA 27526,Public Pool Permit,wake,NC
132,HSIPOP-037898-2020,2020-05-13,Application Incomplete,485 TRAEBERT CIR KNIGHTDALE 27545,Public Pool Permit,wake,NC
133,HSIPOP-013039-2019,2019-02-02,Void,1909 CRYSTAL HILL CT RALEIGH 27604,Public Pool Permit,wake,NC
134,HSIPOP-033010-2020,2020-02-12,Issued,2931 JORDAN POINTE BLVD NEW HILL 27562,Public Pool Permit,wake,NC
135,F170299,2017-04-04,Issued,00555 CROSSROADS BLVD CARY NC 27513,Public Pool Permit,wake,NC
136,F160716,2016-10-11,Complete,00400 GRAND HIGHCLERE WAY APEX NC 27523,Public Pool Permit,wake,NC
