"Date","Permit Number","Permit Type","Description","Status","Address",
"05/02/2018","20180511797","Commercial Swimming Pool","GULFRIDGE 2ND ADDITION SWIMMING POOL  -EXIT ALARMS","Closed","2645 N BEACH RD, ENGLEWOOD FL 34223",
"04/24/2018","20180410812","Commercial Swimming Pool","COMMERCIAL SWIMMING POOL & CONCRETE DECK","C of Completion Issued","24151 BEATRIX BLVD, PORT CHARLOTTE FL 33954",
"04/05/2018","20180409038","Commercial Swimming Pool","RE SURFACING SWIMMING POOL - HOLIDAY INN EXPRESS","Closed","24440 SANDHILL BLVD, PUNTA GORDA FL 33983",
"03/06/2018","20180305972","Commercial Swimming Pool","CONSTRUCT WADE POOL AND DECK","Closed","7001 SAN CASA DR, POOL, ENGLEWOOD FL 34224",
"02/12/2018","20180203647","Commercial Swimming Pool","ACTIVITY POOL WITH FENCING","Closed","670 COOPER ST, PUNTA GORDA FL 33950",
"02/09/2018","20180203564","Commercial Swimming Pool","POOL CONSTRUCTION TO REPLACE EXISTING POOL","Closed","4250 RIVERWOOD DR, PORT CHARLOTTE FL 33953",
"01/26/2018","20180102226","Commercial Swimming Pool","RESIDENTIAL SWIMMING POOL W/ DOOR ALARMS","Closed","13039 RIDGELY CIR, PORT CHARLOTTE FL 33981",
"12/19/2017","20171227309","Commercial Swimming Pool","County Splash Pad","Closed","21125 MCGUIRE AVE, PORT CHARLOTTE FL 33952",
"11/09/2017","20171124260","Commercial Swimming Pool","INSTALL IN-GROUND SWIMMING POOL W/EXIT ALARM FOR BABCOCK WELLNESS CENTER","Closed","42880 CRESCENT LOOP, Punta Gorda FL 33982",
"09/20/2017","20170920648","Commercial Swimming Pool","COMMERCIAL POOL RENOVATION - RESURFACE POOL & REPLACE TILE","Closed","2395 HARBOR BLVD, A, PORT CHARLOTTE FL 33952",
"09/19/2017","20170920530","Commercial Swimming Pool","MAPLE LEAF QUEENSWAY POOL - RESURFACE POOL & MORE","Closed","2100 KINGS HWY, PORT CHARLOTTE FL 33980",
"09/13/2017","20170920167","Commercial Swimming Pool","Resurface pool at replace tile on pool","Closed","9035 MAC DR, PUNTA GORDA FL 33950",
"08/29/2017","20170819561","Commercial Swimming Pool","INSTALL NREW PLASTER IN EXISTING POOL & INSTALL 1"" PAVERS OVER EXISTING DECK","Closed","6800 PLACIDA RD, ENGLEWOOD FL 34224",
"07/26/2017","20170716631","Commercial Swimming Pool","REMOVE EXISTING POOL SHELL TO RESURFACE TO NEW","Closed","4410 WARREN AVE, PORT CHARLOTTE FL 33953",
"06/14/2017","20170613367","Commercial Swimming Pool","COMM POOL RENOVATION - PLASTER - TILE - REPAIR COPING","Closed","1531 PLACIDA RD, 1, ENGLEWOOD FL 34223",
"06/05/2017","20170612605","Commercial Swimming Pool","POOL RESURFACING","Closed","25225 RAMPART BLVD, CLUBHSE, PUNTA GORDA FL 33983",
"05/25/2017","20170511824","Commercial Swimming Pool","INSTALL COMMERCIAL POOL & PAVER BRICK DECK","Closed","9075 MAC DR, PUNTA GORDA FL 33950",
"04/24/2017","20170409152","Commercial Swimming Pool","REPLACE TILE, RESURFACE POOL, STAIN DECK","Closed","6100 TOUCAN DR, ENGLEWOOD FL 34224",
"02/03/2017","20170202422","Commercial Swimming Pool","CLUBHHOUSE POOL RENOVATION - RESURFACE POOL & REPLACE TILE","Closed","6600 GASPARILLA PINES BLVD, CLUBHSE, ENGLEWOOD FL 34224",
"01/04/2017","20170100173","Commercial Swimming Pool","BABCOCK RANCH COMMUNITY CLUBHOUSE NEW SWIMMING POOL","Closed","42147 LAKE TIMBER DR, PUNTA GORDA FL 33982",
"12/06/2016","20161223694","Commercial Swimming Pool","COMMERCIAL POOL, CONCRETE POOL DECK","Closed","26166 EXPLORER RD, CLUBHSE, Punta Gorda FL 33983",
"11/18/2016","20161122589","Commercial Swimming Pool","SPLASH PAD FOR BABCOCK RANCH. PER-BEN TOLD ME TO PUT IT UNDER POOL","Closed","42861 CRESCENT LOOP, PUNTA GORA FL 33982",
"10/20/2016","20161020524","Commercial Swimming Pool","Commercial pool renovation.","Closed","7001 SAN CASA DR, POOL, ENGLEWOOD FL 34224",
"10/19/2016","20161020488","Commercial Swimming Pool","POOL RENOVATION: RESURFACING & REPLACING TILE","Closed","88 BOUNDARY BLVD, F, ROTONDA WEST FL 33947",
"10/19/2016","20161020487","Commercial Swimming Pool","POOL RENOVATION: RESURFACING & REPLACING TILE","Closed","78 BOUNDARY BLVD, C, ROTONDA WEST FL 33947",
"09/27/2016","20160918870","Commercial Swimming Pool","SWIMMING POOL, PAVER DECK","Closed","15361 MILLE FIORE BLVD, PORT CHARLOTTE FL 33953",
"07/26/2016","20160714730","Commercial Swimming Pool","POOL RENOVATION: RESURFACE & REPLACE TILE","Closed","5850 GASPARILLA RD, Boca Grande FL 33921",
"07/06/2016","20160713358","Commercial Swimming Pool","AQUA GARDENS EXIST COMMUNITY POOL REPLASTER POOL INTERIOR, REPLACE TILE INSIDE POOL, REPLACE COPING & ADD NEW TILE TO CONC DECK","Closed","2000 FORREST NELSON BLVD, BLDG CLUBHS, PORT CHARLOTTE FL 33952",
"05/09/2016","20160509083","Commercial Swimming Pool","COMMERCIAL POOL","Closed","2405 N BEACH RD, ENGLEWOOD FL 34223",
"04/12/2016","20160406986","Commercial Swimming Pool","CREEKSIDE RV RESORT INSTALL COMMERCIAL SWIMMING POOL, SPA & PAVER BRICK DECK","Closed","27005 JONES LOOP RD, CLUBHSE, Punta Gorda FL 33982",
"10/20/2015","20151018020","Commercial Swimming Pool","BLUE STARFISH RESORT & SPA - NEW SWIMMING POOL","Closed","115 FRIENDSHIP LN, ENGLEWOOD FL 34223",
"07/29/2015","20150713177","Commercial Swimming Pool","POOL & SPA RENOVATIONS","Closed","7548 PALM ISLAND DR S, 7, PLACIDA FL 33946",
"07/22/2015","20150712797","Commercial Swimming Pool","COMMUNITY POOL - POOL RESURFACING","Expired - Not Issued","6796 GASPARILLA PINES BLVD, ENGLEWOOD FL 34224",
"07/17/2015","20150712547","Commercial Swimming Pool","CONSTRUCT POOL","Closed","8885 TUSCANY ISLES DR, CLUBHSE, PUNTA GORDA FL 33950",
"04/27/2015","20150407157","Commercial Swimming Pool","BURNT STORE COLONY POOL & SPA","Closed","15550 BURNT STORE RD, PUNTA GORDA FL 33955",
"03/19/2015","20150304574","Commercial Swimming Pool","WATERFORD ESTATES CONDOMINIUMS COMMERCIAL SWIMMING POOL WITH DECK , BABY BARRIER","Closed","7500 WATERFORD PKWY, PUNTA GORDA FL 33950",
"12/01/2014","20141218217","Commercial Swimming Pool","(SOUTH POOL) MODIFICATIONS REQUIRED BY HEALTH DEPT","Closed","5800 GULF SHORES DR, POOL, PLACIDA FL 33921",
"12/01/2014","20141218214","Commercial Swimming Pool","(NORTH POOL) MODIFICATIONS REQUIRED BY HEALTH DEPT","Closed","5800 GULF SHORES DR, POOL, PLACIDA FL 33921",
"11/17/2014","20141117572","Commercial Swimming Pool","SWIMMING POOL RENOVATION NEW SURFACE, NEW TILE","Closed","1000 KINGS HWY, PORT CHARLOTTE FL 33980",
"11/06/2014","20141117036","Commercial Swimming Pool","RESURFACE SWIMMING POOL, RE-TILE LANES & POOL STEPS. REPLACE LOW VOLTAGE LIGHT FIXTURE","Closed","4500 HARBOR BLVD, PORT CHARLOTTE FL 33952",
"11/06/2014","20141117035","Commercial Swimming Pool","RESURFACE SWIMMING POOL, RE-TILE POOL STEPS & SLOPE BREAK, REPLACE LOW VOLTAGE LIGHT FIXTURE","Closed","670 COOPER ST, PUNTA GORDA FL 33950",
"10/24/2014","20141016234","Commercial Swimming Pool","RESURFACE SWIMMING POOL AND BRING UP TO CODE","Closed","24540 HARBORVIEW RD, A, PORT CHARLOTTE FL 33980",
"09/30/2014","20140914939","Commercial Swimming Pool","SWIMMING POOL RENOVATIONNEW SURFACE, NEW TILE, DEPTH MARKERS, CROSS BRACE LADDER, LIGHTS","Closed","1501 BEACH RD, 3, ENGLEWOOD FL 34223",
"09/30/2014","20140914916","Commercial Swimming Pool","RENOVATION OF POOL AND WATERLINE TILE","Closed","6950 PLACIDA RD, ENGLEWOOD FL 34224",
"09/12/2014","20140914030","Commercial Swimming Pool","COMMERCIAL POOL & SANDSET PAVER DECK","Closed","8195 PLACIDA RD, PLACIDA FL 33946",
"09/11/2014","20140914011","Commercial Swimming Pool","GROVE CITY MOTEL RESURFACE SWIMMING POOL","Closed","2555 PLACIDA RD, ENGLEWOOD FL 34224",
"09/05/2014","20140913676","Commercial Swimming Pool","RESURFACE SWIMMING POOL & REPLACE TILE","Closed","6800 PLACIDA RD, ENGLEWOOD FL 34224",
"08/20/2014","20140812849","Commercial Swimming Pool","RE-SURFACE COMMERCIAL POOL","Closed","2450 N BEACH RD, 1, ENGLEWOOD FL 34223",
"08/08/2014","20140812175","Commercial Swimming Pool","NOT A POOL----MARIA  MANOR---CONCRETE DECK EXTENSION ON EXTENSION POOL DECK--TAKING DOWN FENCE TO DO THE WORK AND REINSTALLING SAME FENCE IN SAME PLACE","Closed","4158 TAMIAMI TRL, A, PORT CHARLOTTE FL 33952",
"03/07/2014","20140303472","Commercial Swimming Pool","DON PEDRO CONDO COMMERCIAL POOL MODIFICATION","Closed","180 N GULF BLVD, 3, PLACIDA FL 33946",
"03/06/2014","20140303408","Commercial Swimming Pool","GARDENS OF GULF COVE REPLACEMENT OF EXIST FILTRATION UNIT W/ AQUA TEK UNIT","Closed","6464 CONISTON ST, PORT CHARLOTTE FL 33981",
"04/25/2013","20130405619","Commercial Swimming Pool","PINES AT DEEP CREEK CONDOS ADD 2 POOL HEAT PUMPS, LIFT AND PAVERS AND REFINISH POOL INTERIOR","Closed","25050 SANDHILL BLVD, PUNTA GORDA FL 33983",
"12/05/2012","20121214400","Commercial Swimming Pool","COMMERCIAL POOL AND PAVER DECK GASPARILLA PALMS","Closed","242 BOUNDARY BLVD, 111, ROTONDA WEST FL 33947",
"06/18/2012","20120607599","Commercial Swimming Pool","SWIMMING POOL","Expired - Not Issued","8194 DRESSEL ST, PORT CHARLOTTE FL 33981",
"04/02/2012","20120404096","Commercial Swimming Pool","CONST COMMERCIAL POOL & SPA","Closed","14100 MYAKKA AVE, PORT CHARLOTTE FL 33953",
"06/16/2011","20110607064","Commercial Swimming Pool","COMMERCIAL SWMMING POOL","Closed","29031 WOOD DUCK DR, PUNTA GORDA FL 33982",
"05/24/2011","20110506063","Commercial Swimming Pool","SPA","Closed","11000 PLACIDA RD, PLACIDA FL 33946",
"05/04/2011","20110505226","Commercial Swimming Pool","INSTALL REPLACEMENT SPA","Closed","1815 GULF BLVD, ENGLEWOOD FL 34223",
"03/21/2011","20110303251","Commercial Swimming Pool","RE PLUMB EXISTING SPA PLUMBING & REPLACE COLLECTOR TANK. REPLACE EXISTING DECK WITH PAVER","Expired","5601 DUNCAN RD, 1, PUNTA GORDA FL 33982",
"03/10/2011","20110302892","Commercial Swimming Pool","SWIMMING POOL","Closed","516 RIO DE JANEIRO AVE, 2, PUNTA GORDA FL 33983",
