"Date","Permit Number","Permit Type","Description","Status","Address",
"05/04/2021","20210516012","Res Pool Heat Pump","Install Built Right BR115XW Pool Heater and install a circuit breaker for the heater.","Permit Issued","3276 PORT CHARLOTTE BLVD, PORT CHARLOTTE FL 33952",
"05/04/2021","20210515839","Res Pool Heat Pump","Customer provided heat pump","Closed","27164 TIERRA DEL FUEGO CIR, PUNTA GORDA FL 33983",
"05/03/2021","20210515743","Res Pool Heat Pump","Replace pool heat pump","Closed","3493 ROCK CREEK DR, PORT CHARLOTTE FL 33948",
"05/03/2021","20210515702","Res Pool Heat Pump","Install pool heat pump - plumbing only","Permit Issued","2091 TARPON WAY, ENGLEWOOD FL 34224",
"05/03/2021","20210515699","Res Pool Heat Pump","Install pool heat pump - plumbing only","Closed","35 CLUBHOUSE PL, ROTONDA WEST FL 33947",
"05/03/2021","20210515677","Res Pool Heat Pump","Install pool heat pump and subcontract electrician","Permit Issued","10051 EAGLE PRESERVE DR, ENGLEWOOD FL 34224",
"04/30/2021","20210415588","Res Pool Heat Pump","Remove old pool heater and install new in the same place.","Permit Issued","1410 LEMON BAY DR, ENGLEWOOD FL 34223",
"04/30/2021","20210415518","Res Pool Heat Pump","INSTALL RESI HEAT PUMP","Closed","476 BLARNEY ST, PORT CHARLOTTE FL 33954",
"04/29/2021","20210415367","Res Pool Heat Pump","INSTALL RESI HEAT PUMP","Closed","2457 COLOGNE LN, PUNTA GORDA FL 33983",
"04/29/2021","20210415261","Res Pool Heat Pump","Install new BR135xw heat pumpInstall necessary electrical conducted by NuSons Electric","Closed","313 FORTALEZA ST, PUNTA GORDA FL 33983",
"04/28/2021","20210415152","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","1158 VIRGO DR, PORT CHARLOTTE FL 33948",
"04/28/2021","20210415069","Res Pool Heat Pump","INSTALLATION OF REPLACEMENT SWIMMING POOL HEAT PUMP","Closed","4070 LEA MARIE ISLAND DR, PORT CHARLOTTE FL 33952",
"04/27/2021","20210414927","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","26218 MINDANAO LN, PUNTA GORDA FL 33983",
"04/27/2021","20210414839","Res Pool Heat Pump","Customer provided heat pump","Closed","23103 LANGDON AVE, PORT CHARLOTTE FL 33954",
"04/26/2021","20210414789","Res Pool Heat Pump","INSTALL NEW HEAT PUMP","Closed","18 BARILOCHE DR, PUNTA GORDA FL 33983",
"04/26/2021","20210414788","Res Pool Heat Pump","Remove old pool heater and install new in the same place.","Closed","28388 COCO PALM DR, PUNTA GORDA FL 33982",
"04/26/2021","20210414709","Res Pool Heat Pump","Install Pool Heat Pump","Closed","4159 HERONS POINTE DR, PORT CHARLOTTE FL 33953",
"04/26/2021","20210414668","Res Pool Heat Pump","Install Pool Heat Pump","Closed","12259 FINWICK DR, PUNTA GORDA FL 33955",
"04/23/2021","20210414449","Res Pool Heat Pump","Replace pool heater.","Closed","2909 ROCK CREEK DR, PORT CHARLOTTE FL 33948",
"04/22/2021","20210414402","Res Pool Heat Pump","Heat Pump","Closed","22291 PEACHLAND BLVD, PORT CHARLOTTE FL 33954",
"04/21/2021","20210414239","Res Pool Heat Pump","INSTALL RES POOL HEAT PUMP","Permit Issued","23160 QUASAR BLVD, PORT CHARLOTTE FL 33952",
"04/21/2021","20210414218","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","15538 AQUA CIR, PORT CHARLOTTE FL 33981",
"04/15/2021","20210413421","Res Pool Heat Pump","INSTALL NEW RESI HEAT PUMP","Closed","25342 VANTAGE LN, PUNTA GORDA FL 33983",
"04/15/2021","20210413420","Res Pool Heat Pump","INSTALL NEW RESI HEAT PUMP","Closed","167 ALLWORTHY ST, PORT CHARLOTTE FL 33954",
"04/15/2021","20210413413","Res Pool Heat Pump","Customer provided heat pump","Permit Issued","33 BROADMOOR LN, ROTONDA WEST FL 33947",
"04/14/2021","20210413218","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","2243 CANNOLOT BLVD, PORT CHARLOTTE FL 33948",
"04/14/2021","20210413216","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","6949 DENMARK ST, ENGLEWOOD FL 34224",
"04/14/2021","20210413104","Res Pool Heat Pump","Installation of new pool heat pump","Permit Issued","21208 CHATBURN AVE, PORT CHARLOTTE FL 33952",
"04/13/2021","20210413025","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","24320 MATIAS LN, PUNTA GORDA FL 33955",
"04/13/2021","20210413018","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP, PLUMBING ONLY","Closed","19178 ALMADYDE CT, PORT CHARLOTTE FL 33948",
"04/13/2021","20210412914","Res Pool Heat Pump","INSTALL RESI HEAT PUMP","Closed","25 BELEM ST, PUNTA GORDA FL 33983",
"04/09/2021","20210412590","Res Pool Heat Pump","Heat Pump","Closed","489 CICERO ST, PORT CHARLOTTE FL 33948",
"04/09/2021","20210412564","Res Pool Heat Pump","Installation of pool heat pump","Closed","3001 CURRY TER, PORT CHARLOTTE FL 33981",
"04/08/2021","20210412375","Res Pool Heat Pump","INSTALL NEW POOL HEAT PUMP","Closed","23522 DAWN AVE, PORT CHARLOTTE FL 33954",
"04/08/2021","20210412297","Res Pool Heat Pump","Install a pool heat pump","Closed","2227 BAYBELL ST, PORT CHARLOTTE FL 33948",
"04/07/2021","20210412128","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","5184 BOYLE TER, PORT CHARLOTTE FL 33981",
"04/06/2021","20210411806","Res Pool Heat Pump","Customer provided heat pump","Closed","226 WHITE MARSH LN, ROTONDA WEST FL 33947",
"04/05/2021","20210411708","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","2101 HASKELL ST, PORT CHARLOTTE FL 33952",
"04/05/2021","20210411704","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","25536 BANFF LN, PUNTA GORDA FL 33983",
"04/02/2021","20210411523","Res Pool Heat Pump","110K BTU HEAT PUMP","Closed","14403 CANDO AVE, PORT CHARLOTTE FL 33981",
"04/01/2021","20210411407","Res Pool Heat Pump","Install new pool heater, electrical done by Dan Wellins Electric.","Permit Issued","3150 LAKE VIEW BLVD, PORT CHARLOTTE FL 33948",
"04/01/2021","20210411392","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","85 PINEHURST PL, ROTONDA WEST FL 33947",
"04/01/2021","20210411389","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","13 SPORTSMAN LN, ROTONDA WEST FL 33947",
"04/01/2021","20210411367","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC HEAT PUMP","Closed","21245 GIDDINGS AVE, PORT CHARLOTTE FL 33952",
"04/01/2021","20210411334","Res Pool Heat Pump","Heat Pump","Closed","25603 PRADA DR, PUNTA GORDA FL 33955",
"04/01/2021","20210411330","Res Pool Heat Pump","Customer provided heat pump","Closed","20151 HOLLAND AVE, PORT CHARLOTTE FL 33952",
"04/01/2021","20210411329","Res Pool Heat Pump","Customer provided heat pump","Closed","2409 VANCE TER, PORT CHARLOTTE FL 33981",
"04/01/2021","20210411326","Res Pool Heat Pump","Customer provided heat pump","Closed","781 COLUMBIA ST, PORT CHARLOTTE FL 33948",
"04/01/2021","20210411316","Res Pool Heat Pump","Customer provided heat pump","Closed","9372 STEUBENVILLE AVE, ENGLEWOOD FL 34224",
"04/01/2021","20210411243","Res Pool Heat Pump","Remove old pool heater, and install new in the same place.","Closed","317 HARWICK ST, PORT CHARLOTTE FL 33954",
"03/31/2021","20210311232","Res Pool Heat Pump","Replace existing pool heat pump.","Closed","18 PALM DR, PLACIDA FL 33946",
"03/31/2021","20210311230","Res Pool Heat Pump","Install New Heat Pump.Electrical by others.","Closed","62 LONG MEADOW LN, ROTONDA WEST FL 33947",
"03/31/2021","20210311184","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","15658 VISCOUNT CIR, PORT CHARLOTTE FL 33981",
"03/31/2021","20210311166","Res Pool Heat Pump","Heat Pump","Closed","299 BARCELONA ST, PUNTA GORDA FL 33983",
"03/31/2021","20210311118","Res Pool Heat Pump","Installation of new heat pump","Permit Issued","13366 KETRIDGE AVE, PORT CHARLOTTE FL 33953",
"03/30/2021","20210311027","Res Pool Heat Pump","Customer provided equipment","Closed","20384 LADNER AVE, PORT CHARLOTTE FL 33954",
"03/30/2021","20210310953","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","17179 HORIZON LN, PORT CHARLOTTE FL 33948",
"03/30/2021","20210310904","Res Pool Heat Pump","install pool heat pump","Permit Issued","46 ANNAPOLIS LN, ROTONDA WEST FL 33947",
"03/29/2021","20210310810","Res Pool Heat Pump","Heat Pump","Closed","1469 NEAPOLITAN RD, PUNTA GORDA FL 33983",
"03/29/2021","20210310761","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","2792 SUNCOAST LAKES BLVD, PORT CHARLOTTE FL 33980",
"03/29/2021","20210310759","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","1289 ALTON RD, PORT CHARLOTTE FL 33952",
"03/26/2021","20210310581","Res Pool Heat Pump","REPLACE EXISTING HEAT PUMP IN SAME LOCATION","Closed","22545 ALCORN AVE, PORT CHARLOTTE FL 33952",
"03/26/2021","20210310550","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP, PLUMBING ONLY","Closed","456 GUYANA ST, PUNTA GORDA FL 33983",
"03/25/2021","20210310445","Res Pool Heat Pump","install pool heat pump - plumbing only","Closed","13590 BEGONIA CIR, PORT CHARLOTTE FL 33981",
"03/25/2021","20210310411","Res Pool Heat Pump","Installation of new heat pump","Closed","22585 BLANCHARD AVE, PORT CHARLOTTE FL 33952",
"03/25/2021","20210310304","Res Pool Heat Pump","Replace existing broken heat pump with new BR135xw heat pump","Closed","23133 MADELYN AVE, PORT CHARLOTTE FL 33954",
"03/25/2021","20210310299","Res Pool Heat Pump","Replace existing Heat Pump.","Closed","242 SPRING DR, ROTONDA WEST FL 33947",
"03/24/2021","20210310479","Res Pool Heat Pump","Replace pool heater.","Closed","1061 BOUNDARY BLVD, ROTONDA WEST FL 33947",
"03/24/2021","20210310145","Res Pool Heat Pump","Customer provided heat pump","Permit Issued","18100 WOLBRETTE CIR, PORT CHARLOTTE FL 33948",
"03/23/2021","20210310070","Res Pool Heat Pump","install pool heat pump - plumbing only","Closed","656 BOUNDARY BLVD, ROTONDA WEST FL 33947",
"03/23/2021","20210309946","Res Pool Heat Pump","Install pool heat pump.","Closed","18173 HILLSBOROUGH BLVD, PORT CHARLOTTE FL 33954",
"03/22/2021","20210309878","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","407 VITORIO ST, PUNTA GORDA FL 33983",
"03/22/2021","20210309810","Res Pool Heat Pump","INSTALL NEW RESI HEAT PUMP","Closed","27215 PUNO DR, PUNTA GORDA FL 33983",
"03/22/2021","20210309805","Res Pool Heat Pump","INSTALL NEW RESI HEAT PUMP","Closed","1356 ULTRAMARINE LN, PUNTA GORDA FL 33983",
"03/22/2021","20210309786","Res Pool Heat Pump","Swap of pool heat pump","Closed","7235 SUNNYBROOK BLVD, ENGLEWOOD FL 34224",
"03/22/2021","20210309773","Res Pool Heat Pump","Heat Pump","Closed","22542 NEW YORK AVE, PORT CHARLOTTE FL 33952",
"03/19/2021","20210309656","Res Pool Heat Pump","Heat Pump","Closed","21326 COACHMAN AVE, PORT CHARLOTTE FL 33952",
"03/19/2021","20210309543","Res Pool Heat Pump","Customer provided heat pump","Permit Issued","431 BOUNDARY BLVD, ROTONDA WEST FL 33947",
"03/18/2021","20210309532","Res Pool Heat Pump","Replace old heater.","Closed","164 CADDY RD, ROTONDA WEST FL 33947",
"03/18/2021","20210309479","Res Pool Heat Pump","Installation of new pool heat pump","Closed","13974 ALLAMANDA CIR, PORT CHARLOTTE FL 33981",
"03/18/2021","20210309373","Res Pool Heat Pump","heat pump change out","Closed","158 SPORTSMAN RD, ROTONDA WEST FL 33947",
"03/18/2021","20210309367","Res Pool Heat Pump","Remove old pool heater, and install new in the same place.","Closed","13994 ROYAL POINTE DR, PORT CHARLOTTE FL 33953",
"03/16/2021","20210309153","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","8324 BURWELL CIR, PORT CHARLOTTE FL 33981",
"03/16/2021","20210309131","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","374 JAPURA ST, PUNTA GORDA FL 33983",
"03/16/2021","20210309097","Res Pool Heat Pump","Remove old pool heater and install new in the same place.","Closed","1455 GULF BLVD, ENGLEWOOD FL 34223",
"03/16/2021","20210309059","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","25265 BOLIVAR DR, PUNTA GORDA FL 33983",
"03/16/2021","20210309022","Res Pool Heat Pump","Customer provided heat pump","Permit Issued","21293 WARDELL AVE, PORT CHARLOTTE FL 33952",
"03/16/2021","20210309021","Res Pool Heat Pump","Customer provided heat pump","Closed","684 CORRIENTES CIR, PUNTA GORDA FL 33983",
"03/15/2021","20210308990","Res Pool Heat Pump","REPLACE RESI SWIMMING HEAT PUMP","Closed","25082 BOLIVAR DR, PUNTA GORDA FL 33983",
"03/15/2021","20210308989","Res Pool Heat Pump","REPLACE RESI SWIMMING HEAT PUMP","Closed","26056 DOLMAN CT, PUNTA GORDA FL 33983",
"03/15/2021","20210308844","Res Pool Heat Pump","Install New pool Heat Pump.  Electrical work done by others","Closed","42 BUNKER CIR, ROTONDA WEST FL 33947",
"03/12/2021","20210308750","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","3163 TREVINO TER, PUNTA GORDA FL 33983",
"03/12/2021","20210308683","Res Pool Heat Pump","Heat Pump","Closed","25444 AVERIO CT, PUNTA GORDA FL 33955",
"03/10/2021","20210308382","Res Pool Heat Pump","Install new Built Right Heat PumpElectric installed by Nu Sons Electric","Closed","373 SPRING VIEW CIR, PORT CHARLOTTE FL 33948",
"03/10/2021","20210308379","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","15161 LAKELAND CIR, PORT CHARLOTTE FL 33981",
"03/10/2021","20210308316","Res Pool Heat Pump","install pool heat pump and subcontract electrician","Permit Issued","9343 ADOBE AVE, ENGLEWOOD FL 34224",
"03/08/2021","20210307938","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","14039 FILLMORE AVE, PORT CHARLOTTE FL 33981",
"03/08/2021","20210307937","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","18210 BRAZIL AVE, PORT CHARLOTTE FL 33948",
"03/08/2021","20210307935","Res Pool Heat Pump","Swap of heat pump","Closed","118 SPORTSMAN RD, ROTONDA WEST FL 33947",
"03/08/2021","20210307882","Res Pool Heat Pump","Customer provided heat pump","Closed","1100 HARBOUR WOOD DR, PUNTA GORDA FL 33983",
"03/05/2021","20210307658","Res Pool Heat Pump","Remove old pool heater and install new in the same place.","Closed","12 MARK TWAIN LN, ROTONDA WEST FL 33947",
"03/04/2021","20210307629","Res Pool Heat Pump","install pool heat pump and subcontract electrician","Permit Issued","10616 AYEAR RD, PORT CHARLOTTE FL 33981",
"03/04/2021","20210307627","Res Pool Heat Pump","Replace Existing Pool Heat Pump","Closed","25 PALM DR, PLACIDA FL 33946",
"03/04/2021","20210307626","Res Pool Heat Pump","REPLACE RESI HEAT PUMP","Closed","23513 ALMOND AVE, PORT CHARLOTTE FL 33954",
"03/04/2021","20210307621","Res Pool Heat Pump","INSTALL RESI SWIMMING POOL HEAT PUMP","Closed","2231 HAMBURG LN, PUNTA GORDA FL 33983",
"03/04/2021","20210307615","Res Pool Heat Pump","REPLACE RESI POOL HEAT PUMP","Closed","314 BRASILIA ST, PUNTA GORDA FL 33983",
"03/04/2021","20210307509","Res Pool Heat Pump","Heat Pump","Closed","2540 DIXON TER, PORT CHARLOTTE FL 33981",
"03/03/2021","20210307266","Res Pool Heat Pump","Install pool heat pump","Closed","200 COMPTON ST, PORT CHARLOTTE FL 33954",
"03/03/2021","20210307245","Res Pool Heat Pump","heat pump change out","Closed","5225 BOYLE TER, PORT CHARLOTTE FL 33981",
"03/03/2021","20210307237","Res Pool Heat Pump","customer provided heat pump","Closed","21319 WYNYARD AVE, PORT CHARLOTTE FL 33954",
"03/02/2021","20210307211","Res Pool Heat Pump","Install Pool heat pump","Permit Issued","26549 VALPARAISO DR, PUNTA GORDA FL 33983",
"03/01/2021","20210307004","Res Pool Heat Pump","Install new pool heater, Dan Wellins handles electric.","Closed","123 ROTONDA CIR, ROTONDA WEST FL 33947",
"03/01/2021","20210306940","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC HEAT PUMP","Closed","3364 HOLCOMB RD, PORT CHARLOTTE FL 33981",
"03/01/2021","20210306924","Res Pool Heat Pump","heat pump change out","Closed","132 COLONIAL ST SW, PORT CHARLOTTE FL 33952",
"03/01/2021","20210306855","Res Pool Heat Pump","customer provided heat pump","Closed","1133 RIO DE JANEIRO AVE, PUNTA GORDA FL 33983",
"02/26/2021","20210206792","Res Pool Heat Pump","Heat Pump","Closed","25216 DERRINGER RD, PUNTA GORDA FL 33983",
"02/26/2021","20210206714","Res Pool Heat Pump","Heat Pump","Closed","1114 CAMPBELL ST, PORT CHARLOTTE FL 33953",
"02/26/2021","20210206687","Res Pool Heat Pump","heat pump change out","Closed","189 N WATERWAY DR, PORT CHARLOTTE FL 33952",
"02/25/2021","20210206616","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","326 GOIANA ST, PUNTA GORDA FL 33983",
"02/25/2021","20210206529","Res Pool Heat Pump","heat pump change out","Closed","14284 SILVER LAKES CIR, PORT CHARLOTTE FL 33953",
"02/24/2021","20210206408","Res Pool Heat Pump","INSTALLATION OF AN ELECTRIC SWIMMING POOL HEAT PUMP","Closed","25270 ROLAND LN, PUNTA GORDA FL 33955",
"02/24/2021","20210206371","Res Pool Heat Pump","INSTALLATION OF ELECTRIC SWIMMING POOL HEAT PUMP","Closed","4106 YUCATAN CIR, PORT CHARLOTTE FL 33948",
"02/23/2021","20210206176","Res Pool Heat Pump","INSTALLATION OF ELECTRIC SWIMMING POOL HEAT PUMP","Closed","18518 BRIGGS CIR, PORT CHARLOTTE FL 33948",
"02/23/2021","20210206127","Res Pool Heat Pump","INSTALLATION OF ELECTRIC SWIMMING POOL HEAT PUMP","Closed","2715 N BEACH RD, ENGLEWOOD FL 34223",
"02/23/2021","20210206118","Res Pool Heat Pump","INSTALLATION OF ELECTRIC SWIMMING POOL HEAT PUMP","Closed","22397 ADORN AVE, PORT CHARLOTTE FL 33952",
"02/23/2021","20210206086","Res Pool Heat Pump","INSTALLATION OF ELECTRIC SWIMMING POOL HEAT PUMP","Closed","5 LEEWARD DR, PLACIDA FL 33946",
"02/23/2021","20210206079","Res Pool Heat Pump","INSTALLATION OF ELECTRIC SWIMMING POOL HEAT PUMP","Closed","89 OAKLAND HILLS CT, ROTONDA WEST FL 33947",
"02/23/2021","20210206040","Res Pool Heat Pump","Installation of pool heat pump","Closed","4244 HARBOR BLVD, PORT CHARLOTTE FL 33952",
"02/22/2021","20210205973","Res Pool Heat Pump","INSTALLATION OF ELECTRIC SWIMMING POOL HEAT PUMP","Closed","167 KINGS DR, ROTONDA WEST FL 33947",
"02/22/2021","20210205935","Res Pool Heat Pump","Install 135K BTU Pool Heat Pump","Closed","14141 CHESSWOOD LN, PORT CHARLOTTE FL 33981",
"02/22/2021","20210205873","Res Pool Heat Pump","INSTALLATION OF ELECTRIC SWIMMING POOL HEAT PUMP","Closed","1126 HARBOUR GREEN RD, PUNTA GORDA FL 33983",
"02/21/2021","20210205806","Res Pool Heat Pump","Install new pool heater. Dan Wellins to do the electric.","Permit Issued","7885 MIKASA DR, PUNTA GORDA FL 33950",
"02/19/2021","20210206053","Res Pool Heat Pump","INSTALL RESI HEAT PUMP","Closed","117 CATAMARACA CT, PUNTA GORDA FL 33983",
"02/19/2021","20210205764","Res Pool Heat Pump","Customer provided heat pump","Closed","271 LONG MEADOW LN, ROTONDA WEST FL 33947",
"02/19/2021","20210205602","Res Pool Heat Pump","Customer provided heat pump","Closed","17537 TUXPAN LN, PUNTA GORDA FL 33955",
"02/18/2021","20210205552","Res Pool Heat Pump","Install new pool heater. Electric done by Paul's Amp Electric.","Closed","24251 CAPTAIN KIDD BLVD, PUNTA GORDA FL 33955",
"02/17/2021","20210205264","Res Pool Heat Pump","Install BR135xw heat pumpInstall electric for heat pump by NuSons Electric","Closed","2491 BALTIC AVE, PORT CHARLOTTE FL 33952",
"02/16/2021","20210205163","Res Pool Heat Pump","INSTALL NEW HEAT PUMP","Permit Issued","25151 HARBORSIDE BLVD, PUNTA GORDA FL 33955",
"02/16/2021","20210205072","Res Pool Heat Pump","REPLACE RESI HEAT PUMP","Closed","25388 TETHER LN, PUNTA GORDA FL 33983",
"02/16/2021","20210205070","Res Pool Heat Pump","REPLACE RESI HEAT PUMP","Closed","1446 NEAPOLITAN RD, PUNTA GORDA FL 33983",
"02/16/2021","20210205037","Res Pool Heat Pump","INSTALLATION OF ELECTRIC SWIMMING POOL HEAT PUMP","Closed","16685 ACAPULCO RD, PUNTA GORDA FL 33955",
"02/15/2021","20210204834","Res Pool Heat Pump","Customer provided heat pump","Closed","1470 DORCHESTER ST, PORT CHARLOTTE FL 33952",
"02/12/2021","20210204722","Res Pool Heat Pump","INSTALLATION OF ELECTRIC SWIMMING POOL HEAT PUMP","Closed","804 BOUNDARY BLVD, ROTONDA WEST FL 33947",
"02/12/2021","20210204663","Res Pool Heat Pump","Customer provided heat pump","Closed","26106 RAMPART BLVD, PUNTA GORDA FL 33983",
"02/11/2021","20210204618","Res Pool Heat Pump","New installation of heat pump.Solo Electric is Sub contractor for electrical. Sub sheet will be emailed.","Permit Issued","345 BAYTREE DR, ROTONDA WEST FL 33947",
"02/11/2021","20210204590","Res Pool Heat Pump","INSTALLATION OF ELECTRIC SWIMMING POOL HEAT PUMP, PLUMBING ONLY","Closed","9589 GALAXIE CIR, PORT CHARLOTTE FL 33981",
"02/11/2021","20210204513","Res Pool Heat Pump","NEW POOL HEAT PUMP","Closed","79 SPORTSMAN RD, ROTONDA WEST FL 33947",
"02/10/2021","20210204407","Res Pool Heat Pump","REPLACE RESIDENTIAL HEAT PUMP","Closed","407 CARTAGENA ST, PUNTA GORDA FL 33983",
"02/09/2021","20210204188","Res Pool Heat Pump","Heat Pump","Closed","23276 SAFARI AVE, PORT CHARLOTTE FL 33954",
"02/09/2021","20210204173","Res Pool Heat Pump","Install new BR135xw heat pumpInstall new electrical for heat pump by NuSons Electric","Closed","1302 NEAPOLITAN RD, PUNTA GORDA FL 33983",
"02/08/2021","20210204010","Res Pool Heat Pump","Replace Pool Heat Pump","Closed","415 SKYLAND LN, PORT CHARLOTTE FL 33953",
"02/08/2021","20210204005","Res Pool Heat Pump","customer provided heat pump","Closed","18254 KERRVILLE CIR, PORT CHARLOTTE FL 33948",
"02/08/2021","20210204000","Res Pool Heat Pump","Installation of pool heat pump","Closed","249 BEENEY RD, PORT CHARLOTTE FL 33952",
"02/08/2021","20210203998","Res Pool Heat Pump","install pool heater, plumbing only","Cancelled by Applicant","1 MARINER LN, ROTONDA WEST FL 33947",
"02/08/2021","20210203976","Res Pool Heat Pump","Customer provided heat pump","Closed","3310 VESSELS RD, PORT CHARLOTTE FL 33980",
"02/05/2021","20210203930","Res Pool Heat Pump","REPLACE POOL HEAT PUMP","Closed","26137 PAYSANDU DR, PUNTA GORDA FL 33983",
"02/05/2021","20210203897","Res Pool Heat Pump","Installation of pool heat pump","Closed","2514 LARKSPUR DR, PUNTA GORDA FL 33950",
"02/04/2021","20210203780","Res Pool Heat Pump","customer provided heat pump","Closed","164 WILDA CT, ROTONDA WEST FL 33947",
"02/04/2021","20210203722","Res Pool Heat Pump","Install Pool Heat Pump","Closed","1257 AKEN ST, PORT CHARLOTTE FL 33952",
