"Date","Permit Number","Permit Type","Description","Status","Address",
"05/01/2020","20200511940","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Closed","4358 WISCHAMPER ST, PORT CHARLOTTE FL 33948",
"04/29/2020","20200411732","Residential Pool Solar System","Install solar pool heat with auto control","Closed","1512 BLUE LAKE CIR, PUNTA GORDA FL 33983",
"04/29/2020","20200411704","Residential Pool Solar System","Install solar pool heat with manual control","Closed","124 CASTILE CT, PUNTA GORDA FL 33983",
"04/28/2020","20200411546","Residential Pool Solar System","SOLAR POOL HEATER","Closed","15240 HENNIPEN CIR, PORT CHARLOTTE FL 33981",
"04/27/2020","20200411419","Residential Pool Solar System","SOLAR POOL HEATER ROOF MOUNTED HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","22243 PRISCILLA AVE, PORT CHARLOTTE FL 33954",
"04/24/2020","20200411317","Residential Pool Solar System","7 4x12 pool solar panels mounted on south and east roof's","Closed","8512 SWISS BLVD, PUNTA GORDA FL 33982",
"04/22/2020","20200411045","Residential Pool Solar System","Install solar pool heat with auto control","Closed","19198 PUNTA GORDA CT, PORT CHARLOTTE FL 33948",
"04/22/2020","20200411014","Residential Pool Solar System","SOLAR POOL HEATER ROOF MOUNTED HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","762 NEPTUNE ST, PORT CHARLOTTE FL 33948",
"04/21/2020","20200410908","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR SYSTEM","Closed","1 SPORTSMAN WAY, ROTONDA WEST FL 33947",
"04/17/2020","20200410637","Residential Pool Solar System","Roof Mount Solar Pool Heating - NO PHOTOVOLTAIC","Closed","8248 LAKESIDE DR, ENGLEWOOD FL 34224",
"04/16/2020","20200410526","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Closed","25477 AVERIO CT, PUNTA GORDA FL 33955",
"04/03/2020","20200409398","Residential Pool Solar System","Install of Pool Solar","Closed","478 BOUNDARY BLVD, ROTONDA WEST FL 33947",
"04/01/2020","20200409096","Residential Pool Solar System","Install of Pool Solar","Closed","26138 MADRAS CT, PUNTA GORDA FL 33983",
"03/27/2020","20200308765","Residential Pool Solar System","SOLAR POOL HEATER ROOF MOUNTED HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","255 CADDY RD, ROTONDA WEST FL 33947",
"03/25/2020","20200308574","Residential Pool Solar System","Install solar pool heat with Manual Control","Closed","42 WHITE MARSH LN, ROTONDA WEST FL 33947",
"03/24/2020","20200308467","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","16994 TOLEDO BLADE BLVD, PORT CHARLOTTE FL 33954",
"03/24/2020","20200308446","Residential Pool Solar System","SOLAR POOL HEATER ROOF MOUNTED HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","22280 YONKERS AVE, PORT CHARLOTTE FL 33952",
"03/16/2020","20200307493","Residential Pool Solar System","SOLAR POOL HEATER ROOF MOUNTED HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","490 EAST TARPON BLVD NW, PORT CHARLOTTE FL 33952",
"03/16/2020","20200307492","Residential Pool Solar System","SOLAR POOL HEATER ROOF MOUNTED HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","2823 MILL CREEK RD, PORT CHARLOTTE FL 33953",
"03/13/2020","20200307429","Residential Pool Solar System","Install solar pool heat with manual control","Closed","23408 ABRADE AVE, PORT CHARLOTTE FL 33980",
"03/10/2020","20200306986","Residential Pool Solar System","Install solar pool heat with manual control","Closed","3311 BAY RIDGE WAY, PORT CHARLOTTE FL 33953",
"03/05/2020","20200306487","Residential Pool Solar System","Install solar pool heat with manual control","Closed","18538 AYRSHIRE CIR, PORT CHARLOTTE FL 33948",
"03/04/2020","20200306331","Residential Pool Solar System","Solar Pool Heater Replacement","Closed","9 SABOT CT, PLACIDA FL 33946",
"03/02/2020","20200306024","Residential Pool Solar System","Solar Pool Heater","Closed","136 MARKER RD, ROTONDA WEST FL 33947",
"02/27/2020","20200205795","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Closed","1025 ROTONDA CIR, ROTONDA WEST FL 33947",
"02/27/2020","20200205736","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","13824 LONG LAKE LN, PORT CHARLOTTE FL 33953",
"02/25/2020","20200205391","Residential Pool Solar System","Install solar pool heat with manual control","Closed","2845 ROCK CREEK DR, PORT CHARLOTTE FL 33948",
"02/21/2020","20200205111","Residential Pool Solar System","Solar Pool Heat.  No Automation","Issued","24130 PYRAMID WAY, PUNTA GORDA FL 33955",
"02/19/2020","20200204851","Residential Pool Solar System","Roof Mount Solar Pool Heating & Solar Hot Water - NO PHOTOVOLTAIC","Closed","250 WHITE MARSH LN, ROTONDA WEST FL 33947",
"02/19/2020","20200204811","Residential Pool Solar System","SOLAR POOL HEATER","Closed","293 ROSEMARY ST, PORT CHARLOTTE FL 33954",
"02/17/2020","20200204529","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Closed","31 WINDSOR DR, PLACIDA FL 33946",
"02/13/2020","20200204235","Residential Pool Solar System","Install solar pool heat with auto control","Closed","19199 PUNTA GORDA CT, PORT CHARLOTTE FL 33948",
"02/10/2020","20200203748","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR SYSTEM","Closed","913 CHEVY CHASE ST, PORT CHARLOTTE FL 33948",
"01/29/2020","20200102700","Residential Pool Solar System","Solar Pool Heater","Closed","207 COMPTON ST, PORT CHARLOTTE FL 33954",
"01/24/2020","20200102272","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Closed","2983 MILL CREEK RD, PORT CHARLOTTE FL 33953",
"01/21/2020","20200101769","Residential Pool Solar System","Install solar pool heat with manual control","Closed","222 WESTWIND DR, PLACIDA FL 33946",
"01/20/2020","20200101650","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","10511 AZTEC RD, PORT CHARLOTTE FL 33981",
"01/16/2020","20200101427","Residential Pool Solar System","Install solar pool heat with auto control","Closed","1069 INVERNESS ST, PORT CHARLOTTE FL 33952",
"01/15/2020","20200101321","Residential Pool Solar System","Install solar pool heat with manual control","Closed","1421 ULTRAMARINE LN, PUNTA GORDA FL 33983",
"01/13/2020","20200101010","Residential Pool Solar System","Install of Pool Solar","Closed","1027 NEWTON ST, ENGLEWOOD FL 34224",
"01/08/2020","20200100558","Residential Pool Solar System","Roof Mount Solar Pool Heating - NO PHOTOVOLTAIC","Closed","15244 ALSASK CIR, PORT CHARLOTTE FL 33981",
"12/26/2019","20191231236","Residential Pool Solar System","Install of pool solar","Closed","4375 ALBACORE CIR, PORT CHARLOTTE FL 33948",
"12/23/2019","20191231085","Residential Pool Solar System","Install solar heat attaching to existing auto control","Closed","929 GREAT FALLS TER, PORT CHARLOTTE FL 33948",
"12/20/2019","20191231008","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Finaled","6101 DIME CT, PORT CHARLOTTE FL 33981",
"12/18/2019","20191230724","Residential Pool Solar System","Installation of 8 4x12 pool solar panels.  4 panels on south roof face, and 4 panels on west roof face.","Closed","43739 PINEWOOD BEND, Punta Gorda FL 33982",
"12/16/2019","20191230564","Residential Pool Solar System","9 4x12 pool solar panels installed on roof, 5 panels on the south, 4 panels on the west, high up on the roof.","Closed","691 WEST TARPON BLVD NW, PORT CHARLOTTE FL 33952",
"12/12/2019","20191230348","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Closed","6 AMBERJACK TER, PLACIDA FL 33946",
"12/11/2019","20191230184","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","595 BOUNDARY BLVD, ROTONDA WEST FL 33947",
"12/10/2019","20191230085","Residential Pool Solar System","Roof Mount Solar Pool Heating","Closed","20153 MOUNT PROSPECT AVE, PORT CHARLOTTE FL 33952",
"12/09/2019","20191229985","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR SYSTEM","Closed","13726 BEGONIA CIR, PORT CHARLOTTE FL 33981",
"12/09/2019","20191229947","Residential Pool Solar System","Install solar pool heat with auto control","Closed","919 CLEARVIEW DR, PORT CHARLOTTE FL 33953",
"11/26/2019","20191129111","Residential Pool Solar System","Solar Pool Heater","Closed","4105 RAILROAD AVE, PORT CHARLOTTE FL 33953",
"11/22/2019","20191128896","Residential Pool Solar System","Install solar pool heat with auto control","Closed","17310 BAYHARBOR CIR, PORT CHARLOTTE FL 33948",
"11/21/2019","20191128725","Residential Pool Solar System","Solar Pool Heater","Closed","292 ALLWORTHY ST, PORT CHARLOTTE FL 33954",
"11/19/2019","20191128521","Residential Pool Solar System","Install solar pool heat with manual control","Closed","14195 BRISK AVE, PORT CHARLOTTE FL 33953",
"11/19/2019","20191128520","Residential Pool Solar System","Install solar pool heat with auto control","Closed","25176 AYSEN DR, PUNTA GORDA FL 33983",
"11/19/2019","20191128514","Residential Pool Solar System","Install solar pool heat with attaching to existing risers","Closed","8945 BANTRY BAY BLVD, ENGLEWOOD FL 34224",
"11/19/2019","20191128454","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVES","Closed","1372 BLUE LAKE CIR, PUNTA GORDA FL 33983",
"11/15/2019","20191128246","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR SYSTEM","Closed","1238 RAMSDEL ST, PORT CHARLOTTE FL 33952",
"11/14/2019","20191128188","Residential Pool Solar System","Roof Mount Solar Pool Heater","Closed","112 BROADMOOR LN, ROTONDA WEST FL 33947",
"11/13/2019","20191128075","Residential Pool Solar System","Roof mount solar pool heater","Closed","15117 ACORN CIR, PORT CHARLOTTE FL 33981",
"11/13/2019","20191128047","Residential Pool Solar System","Install solar pool water system with manual control","Closed","27162 GUAPORE DR, PUNTA GORDA FL 33983",
"11/13/2019","20191128016","Residential Pool Solar System","INSTALL SOLAR POOL HEATER","Closed","207 AKERS ST, PORT CHARLOTTE FL 33953",
"11/12/2019","20191127877","Residential Pool Solar System","Install solar pool water system with auto control","Closed","138 DARTMOUTH DR, PORT CHARLOTTE FL 33952",
"10/31/2019","20191027002","Residential Pool Solar System","Install solar pool water system with manual control","Closed","9236 LIGHT ST, PORT CHARLOTTE FL 33981",
"10/30/2019","20191026925","Residential Pool Solar System","Install of Pool Solar","Closed","9236 LIGHT ST, PORT CHARLOTTE FL 33981",
"10/30/2019","20191026883","Residential Pool Solar System","Install of pool solar","Closed","429 BLOSSOM AVE, PORT CHARLOTTE FL 33952",
"10/24/2019","20191026408","Residential Pool Solar System","Install of Pool Solar","Closed","9 BROADMOOR RD, ROTONDA WEST FL 33947",
"10/24/2019","20191026377","Residential Pool Solar System","Install of Pool Solar","Closed","10390 MCALESTER CIR, PORT CHARLOTTE FL 33981",
"10/24/2019","20191026374","Residential Pool Solar System","Install of Pool Solar","Closed","3328 PLYMOUTH ST, PORT CHARLOTTE FL 33980",
"10/17/2019","20191025788","Residential Pool Solar System","Roof mount solar pool heating - NO PHOTOVOLTAIC","Closed","531 HALLCREST TER, PORT CHARLOTTE FL 33954",
"10/16/2019","20191025608","Residential Pool Solar System","Install of Pool Solar w/ Auto Control","Closed","10241 ACORN TRL, PUNTA GORDA FL 33950",
"10/04/2019","20191024681","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR SYSTEM","Closed","15488 AVERY RD, PORT CHARLOTTE FL 33981",
"10/04/2019","20191024674","Residential Pool Solar System","Roof Mount Solar Pool Heating","Closed","7152 CASTILLA ST, PORT CHARLOTTE FL 33981",
"10/03/2019","20191024541","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT ROOF ONLY NO CHANGES BELOW ROOF EXISTING PLUMBING & VALVESHOOKED UP TO EXISTING POOL EQUIPMENT","Closed","4 WINDWARD CT, PLACIDA FL 33946",
"10/02/2019","20191024488","Residential Pool Solar System","Install of Pool Solar","Closed","2323 MAURITANIA RD, PUNTA GORDA FL 33983",
"09/23/2019","20190923680","Residential Pool Solar System","Install of Pool Solar system with auto control","Closed","3262 GREAT NECK ST, PORT CHARLOTTE FL 33952",
"09/23/2019","20190923647","Residential Pool Solar System","Installation of 8 pool solar panels on the west facing roof.","Closed","15132 TAURUS CIR, PORT CHARLOTTE FL 33981",
"09/18/2019","20190923258","Residential Pool Solar System","Roof mount solar pool heating - NO PHOTOVOLTAIC","Closed","1194 RIZZO ST, PORT CHARLOTTE FL 33952",
"09/12/2019","20190922786","Residential Pool Solar System","Roof mount solar pool heating - NO PHOTOVOLTAIC","Closed","18204 ACKERMAN AVE, PORT CHARLOTTE FL 33948",
"09/10/2019","20190922612","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","156 APOLLO DR, ROTONDA WEST FL 33947",
"09/05/2019","20190922269","Residential Pool Solar System","SOLAR POOL HEAT","Closed","23967 CEDAR RAPIDS RD, PUNTA GORDA FL 33955",
"08/19/2019","20190820746","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR SYSTEM","Closed","15219 APPLETON BLVD, PORT CHARLOTTE FL 33981",
"08/14/2019","20190820489","Residential Pool Solar System","Install solar pool water system with manual control","Closed","2095 HANBY ST, PORT CHARLOTTE FL 33952",
"08/05/2019","20190819586","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR SYSTEM","Closed","1075 LYLE ST, PORT CHARLOTTE FL 33952",
"07/15/2019","20190717725","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR SYSTEM","Closed","1762 WALDEN CT, ENGLEWOOD FL 34224",
"07/02/2019","20190716701","Residential Pool Solar System","SOLAR POOL HEATER REPLACEMENT HOOKED UP TO EXISTING POOL EQUIPMENT","Closed","4244 HARBOR BLVD, PORT CHARLOTTE FL 33952",
"06/26/2019","20190616250","Residential Pool Solar System","Solar Pool Heater","Closed","233 ALBATROSS RD, ROTONDA WEST FL 33947",
"06/24/2019","20190616015","Residential Pool Solar System","POOL SOLAR PANELS ON ROOF","Closed","17220 PHEASANT CIR, PORT CHARLOTTE FL 33948",
"06/05/2019","20190614324","Residential Pool Solar System","INSTALL SOLAR POOL HEATER ON ROOF","Closed","1051 HARBOUR WOOD DR, PUNTA GORDA FL 33983",
"05/29/2019","20190513556","Residential Pool Solar System","INSTALL SOLAR POOL HEATER ON ROOF","Closed","18061 CULLMAN AVE, PORT CHARLOTTE FL 33948",
"05/24/2019","20190513247","Residential Pool Solar System","INSTALL ROOF MOUNTED POOL SOLAR PANELS","Closed","1109 BEAUMONT AVE, PORT CHARLOTTE FL 33948",
