"Date","Permit Number","Permit Type","Description","Status","Address",
"06/24/2021","20210622887","Residential Swimming Pool","Installation of inground fiberglass pool & spa, Paver deck and footers","Application Insufficient","42178 EDGEWATER DR, Punta Gorda FL 33982",
"06/24/2021","20210622868","Residential Swimming Pool","New Construction Pool","In Review","7115 COVENTRY TER, ENGLEWOOD FL 34224",
"06/23/2021","20210622761","Residential Swimming Pool","pool & deck","Ready for Issuance","7123 BRANDYWINE DR, ENGLEWOOD FL 34224",
"06/23/2021","20210622760","Residential Swimming Pool","INSTALL SWIMMING POOL, PAVER BRICK DECK & EXIT ALARMS","In Review","10188 WINDING RIVER RD, PUNTA GORDA FL 33950",
"06/23/2021","20210622757","Residential Swimming Pool","new in ground swimming pool and spa","In Review","16312 PALMETTO ST, Punta Gorda FL 33982",
"06/23/2021","20210622753","Residential Swimming Pool","pool & deck","Ready for Issuance","27172 TIERRA DEL FUEGO CIR, PUNTA GORDA FL 33983",
"06/23/2021","20210622742","Residential Swimming Pool","pool & deck","Ready for Issuance","2840 MILL CREEK RD, PORT CHARLOTTE FL 33953",
"06/23/2021","20210622715","Residential Swimming Pool","pool & deck","Ready for Issuance","22409 GLEN AVE, PORT CHARLOTTE FL 33980",
"06/23/2021","20210622686","Residential Swimming Pool","INSTALL AN 18'X33'X54"" OVAL ABOVE GROUND POOL","In Review","13961 DUNLAP AVE, PORT CHARLOTTE FL 33953",
"06/23/2021","20210622664","Residential Swimming Pool","ABOVE GROUND POOL WITH REMOVABLE LADDER","In Review","11152 CARNEGIE AVE, ENGLEWOOD FL 34224",
"06/23/2021","20210622610","Residential Swimming Pool","Pool & deck","Ready for Issuance","3327 RANDY ST, PORT CHARLOTTE FL 33981",
"06/22/2021","20210622600","Residential Swimming Pool","IN GROUND POOL","Permit Issued","13428 AMARYLLIS CIR, PORT CHARLOTTE FL 33981",
"06/22/2021","20210622509","Residential Swimming Pool","In-ground swimming pool and spa","Permit Issued","16353 BRANCO DR, PUNTA GORDA FL 33955",
"06/21/2021","20210622429","Residential Swimming Pool","CONSTRUCTION OF NEW SWIMMING POOL AND PAVER DECK","Ready for Issuance","10250 ACORN TRL, PUNTA GORDA FL 33950",
"06/21/2021","20210622400","Residential Swimming Pool","RESIDENTIAL POOL & SPA - INGROUND - FOOTER PER ENGINEERING","In Review","16248 LAUREL OAK LN, Punta Gorda FL 33982",
"06/21/2021","20210622358","Residential Swimming Pool","SWIMMING POOL & DECK","In Review","7084 NATALIE ST, ENGLEWOOD FL 34224",
"06/21/2021","20210622340","Residential Swimming Pool","Swimming pool and deck","In Review","140 BALDWIN CT, PORT CHARLOTTE FL 33952",
"06/21/2021","20210622335","Residential Swimming Pool","Swimming Pool and Deck","Permit Issued","450 MANTH ST, PORT CHARLOTTE FL 33953",
"06/21/2021","20210622317","Residential Swimming Pool","Pool and Sandset Paver Deck","In Review","16100 SUNSET PINES CIR, Boca Grande FL 33921",
"06/21/2021","20210622296","Residential Swimming Pool","swimming pool and deck construction","Permit Issued","1959 OREGON TRL, ENGLEWOOD FL 34224",
"06/18/2021","20210622228","Residential Swimming Pool","Pool and deck","Ready for Issuance","14492 PONCE DE LEON TRL, Port Charlotte FL 33981",
"06/18/2021","20210622216","Residential Swimming Pool","RESIDENTIAL POOL & SPA - INGROUND - FOOTER PER ENGINEERING","In Review","16232 LAUREL OAK LN, Punta Gorda FL 33982",
"06/18/2021","20210622204","Residential Swimming Pool","NEW POOL CONSTRUCTION POOL IN GROUND","In Review","18323 MORRISSON AVE, PORT CHARLOTTE FL 33948",
"06/18/2021","20210622183","Residential Swimming Pool","Pool and Sandset Paver Deck","Ready for Issuance","195 CARLISLE AVE, PORT CHARLOTTE FL 33952",
"06/18/2021","20210622173","Residential Swimming Pool","Swimming Pool and Deck","Permit Issued","15329 LAKELAND CIR, PORT CHARLOTTE FL 33981",
"06/18/2021","20210622164","Residential Swimming Pool","POOL, PATIO AND HEAT PUMP","Permit Issued","13978 KEWANEE LN, PORT CHARLOTTE FL 33981",
"06/18/2021","20210622161","Residential Swimming Pool","POOL, PATIO AND HEAT PUMP","Ready for Issuance","75 PINE VALLEY PL, ROTONDA WEST FL 33947",
"06/18/2021","20210622122","Residential Swimming Pool","Above ground pool installation","Ready for Issuance","3445 HIGHLANDS RD, PUNTA GORDA FL 33983",
"06/17/2021","20210622116","Residential Swimming Pool","IN GROUND POOL","Permit Issued","10380 ATENIA ST, PORT CHARLOTTE FL 33981",
"06/17/2021","20210622000","Residential Swimming Pool","new in ground swimming pool","In Review","16184 LOTUS WAY, Punta Gorda FL 33982",
"06/17/2021","20210621997","Residential Swimming Pool","Pool & Deck","Awaiting Plans","228 BALDUR DR, PORT CHARLOTTE FL 33954",
"06/17/2021","20210621981","Residential Swimming Pool","Pool and deck","Ready for Issuance","15553 LAKELAND CIR, PORT CHARLOTTE FL 33981",
"06/17/2021","20210621980","Residential Swimming Pool","Construction of Residential Pool and Spa","In Review","43314 GREENWAY BLVD, Punta Gorda FL 33982",
"06/17/2021","20210621970","Residential Swimming Pool","Construction of Residential Pool and Spa","In Review","43103 BOARDWALK LOOP, Punta Gorda FL 33982",
"06/17/2021","20210621940","Residential Swimming Pool","Construction of Residential Pool and Spa","In Review","43080 BOARDWALK LOOP, Punta Gorda FL 33982",
"06/17/2021","20210621881","Residential Swimming Pool","Swimming pool, paver deck","In Review","24172 CUMAN CT, PUNTA GORDA FL 33955",
"06/16/2021","20210621772","Residential Swimming Pool","POOL & PATIO","Permit Issued","424 SUNSET RD N, ROTONDA WEST FL 33947",
"06/15/2021","20210621704","Residential Swimming Pool","construct new inground pool","Permit Issued","16185 SABAL PATH, Punta Gorda FL 33982",
"06/15/2021","20210621703","Residential Swimming Pool","construct new inground pool and spa","Permit Issued","16177 PENNYROYAL LN, Punta Gorda FL 33982",
"06/15/2021","20210621653","Residential Swimming Pool","Construction of Residential Pool and Spa","Cancelled by Applicant","16177 PALMETTO ST, Punta Gorda FL 33982",
"06/15/2021","20210621649","Residential Swimming Pool","Construction of Residential Pool and Spa","Permit Issued","16169 PALMETTO ST, Punta Gorda FL 33982",
"06/15/2021","20210621648","Residential Swimming Pool","Construction of Residential Pool and Spa","Permit Issued","15815 LEANING PINE LN, Punta Gorda FL 33982",
"06/15/2021","20210621591","Residential Swimming Pool","install pool and paver deck","In Review","90 S GULF BLVD, PLACIDA FL 33946",
"06/15/2021","20210621578","Residential Swimming Pool","inground pool and paver deck","Permit Issued","861 E 3RD ST, ENGLEWOOD FL 34223",
"06/15/2021","20210621576","Residential Swimming Pool","AFTER THE FACT ABOVE GROUND POOL WITH LADDER","Ready for Issuance","23172 ELMIRA BLVD, PORT CHARLOTTE FL 33980",
"06/15/2021","20210621531","Residential Swimming Pool","Construction of Residential Pool and Spa","Permit Issued","43274 GREENWAY BLVD, Punta Gorda FL 33982",
"06/15/2021","20210621525","Residential Swimming Pool","Construction of Residential Pool and Spa","Permit Issued","43266 GREENWAY BLVD, Punta Gorda FL 33982",
"06/14/2021","20210621474","Residential Swimming Pool","Construction of Residential Pool and Spa","Permit Issued","25198 LONGMEADOW DR, PUNTA GORDA FL 33955",
"06/14/2021","20210621470","Residential Swimming Pool","Construction of Residential Pool and spa","Permit Issued","25192 LONGMEADOW DR, PUNTA GORDA FL 33955",
"06/14/2021","20210621467","Residential Swimming Pool","Construction of Residential Pool and Spa","Permit Issued","25180 LONGMEADOW DR, PUNTA GORDA FL 33955",
"06/14/2021","20210621460","Residential Swimming Pool","Construction of Residential Pool and Spa","Permit Issued","16193 PALMETTO ST, Punta Gorda FL 33982",
"06/14/2021","20210621384","Residential Swimming Pool","POOL, PATIO AND HEAT PUMP","Permit Issued","145 WREN DR, PLACIDA FL 33946",
"06/12/2021","20210621311","Residential Swimming Pool","Inground swimming pool, spa & decking","Permit Issued","3980 RIVER BANK WAY, PORT CHARLOTTE FL 33980",
"06/12/2021","20210621310","Residential Swimming Pool","Inground swimming pool & decking","In Review","2391 BENDWAY DR, PORT CHARLOTTE FL 33948",
"06/12/2021","20210621309","Residential Swimming Pool","inground swimming pool & decking","Permit Issued","200 BISCAYNE DR, PORT CHARLOTTE FL 33953",
"06/12/2021","20210621308","Residential Swimming Pool","inground swimming pool & decking","Permit Issued","337 CALENDAR ST, PORT CHARLOTTE FL 33954",
"06/12/2021","20210621307","Residential Swimming Pool","inground swimming pool & decking","Permit Issued","135 ADAMS CT, PORT CHARLOTTE FL 33952",
"06/12/2021","20210621306","Residential Swimming Pool","Inground swimming pool & decking","In Review","16 STERN PL, PLACIDA FL 33946",
"06/12/2021","20210621305","Residential Swimming Pool","inground swimming pool/spa & decking","Permit Issued","14004 STANFIELD AVE, PORT CHARLOTTE FL 33953",
"06/12/2021","20210621302","Residential Swimming Pool","INGROUND SWIMMING POOL, SPA & DECK","Ready for Issuance","14588 PONCE DE LEON TRL, Port Charlotte FL 33981",
"06/12/2021","20210621301","Residential Swimming Pool","INGROUND SWIMMING POOL, SPA & DECK","Ready for Issuance","14580 PONCE DE LEON TRL, Port Charlotte FL 33981",
"06/11/2021","20210621368","Residential Swimming Pool","Installation of new pool","In Review","140 STANFORD DR, ENGLEWOOD FL 34223",
"06/11/2021","20210621181","Residential Swimming Pool","Inground swimming pool/spa/cage","In Review","415 PERL ST, PORT CHARLOTTE FL 33954",
"06/11/2021","20210621161","Residential Swimming Pool","POOL, PATIO AND HEAT PUMP","Permit Issued","2135 ULSTER CT, PUNTA GORDA FL 33983",
"06/11/2021","21TMP-023833","Residential Swimming Pool",,,,
"06/10/2021","20210621061","Residential Swimming Pool","construct new inground pool - Babcock Ranch","Permit Issued","16248 PALMETTO ST, Punta Gorda FL 33982",
"06/10/2021","20210621057","Residential Swimming Pool","INSTALL SWIMMING POOL, PAVER DECK & EXIT ALARMS","Permit Issued","13459 HIGH SPRINGS AVE, PORT CHARLOTTE FL 33981",
"06/10/2021","20210621012","Residential Swimming Pool","ABOVE GROUND POOL","In Review","2461 IVANHOE ST, PORT CHARLOTTE FL 33952",
"06/10/2021","20210621004","Residential Swimming Pool","Pool, Sandset Interlocking Paver Deck and Stemwall","Ready for Issuance","29040 TORTOISE TRL, PUNTA GORDA FL 33982",
"06/10/2021","20210620974","Residential Swimming Pool","RESIDENTIAL POOL & SPA - INGROUND - FOOTER PER ENGINEERING","Permit Issued","42082 JOURNEY DR, Punta Gorda FL 33982",
"06/09/2021","20210621300","Residential Swimming Pool","Inground swimming pool, spa & deck","Ready for Issuance","14485 PONCE DE LEON TRL, Port Charlotte FL 33981",
"06/09/2021","20210620787","Residential Swimming Pool","Inground swimming pool & decking","Application Canceled","14233 HYDRANGEA AVE, PORT CHARLOTTE FL 33953",
"06/09/2021","20210620778","Residential Swimming Pool","RESIDENTIAL POOL - INGROUND - FOOTER PER ENGINEERING","Permit Issued","43024 LAKESIDE WAY, Punta Gorda FL 33982",
"06/09/2021","20210620766","Residential Swimming Pool","Inground swimming pool & decking","Permit Issued","6184 CATALAN ST, ENGLEWOOD FL 34224",
"06/09/2021","20210620755","Residential Swimming Pool","Construct pool, spa, paver deck","Ready for Issuance","29350 PALM SHORES BLVD, Punta Gorda FL 33982",
"06/08/2021","20210620676","Residential Swimming Pool","Construction of Residential Pool and Spa","In Review","43258 GREENWAY BLVD, Punta Gorda FL 33982",
"06/08/2021","20210620672","Residential Swimming Pool","Inground pool and paver deck","Permit Issued","14376 POCONO AVE, PORT CHARLOTTE FL 33981",
"06/08/2021","20210620660","Residential Swimming Pool","Construction of Residential Pool and Spa","Permit Issued","25219 LONGMEADOW DR, PUNTA GORDA FL 33955",
"06/08/2021","20210620656","Residential Swimming Pool","Construction of Residential Pool and Spa","Permit Issued","25001 OAK HAMMOCK CT, PUNTA GORDA FL 33955",
"06/08/2021","20210620638","Residential Swimming Pool","ABOVE  GROUD SWIMMING POOL","Ready for Issuance","23174 JULES AVE, PORT CHARLOTTE FL 33980",
"06/08/2021","20210620616","Residential Swimming Pool","Inground swimming pool & decking","Permit Issued","831 PALMETTO DR, PORT CHARLOTTE FL 33952",
"06/08/2021","20210620559","Residential Swimming Pool","Installing an in ground pool and deck","In Review","15903 TALON TER, Punta Gorda FL 33982",
"06/08/2021","20210620540","Residential Swimming Pool","Inground swimming pool & decking","Awaiting Plans","6309 COLISEUM BLVD, PORT CHARLOTTE FL 33981",
"06/08/2021","20210620523","Residential Swimming Pool","POOL, PATIO AND HEAT PUMP","Permit Issued","16086 CHITLAN CT, PUNTA GORDA FL 33955",
"06/07/2021","20210620600","Residential Swimming Pool","inground pool and deck","Permit Issued","279 FARBER ST, PORT CHARLOTTE FL 33953",
"06/07/2021","20210620466","Residential Swimming Pool","Inground concrete pool, PAVER DECK w/ 12x24 FOOTER FOR SCREEN ENCLOSURE. Safety alarms","Permit Issued","17433 SILVERSPUR DR, Punta Gorda FL 33982",
"06/07/2021","20210620454","Residential Swimming Pool","Swimming Pool and Deck","Permit Issued","33491 SERENE DR, PUNTA GORDA FL 33982",
"06/07/2021","20210620423","Residential Swimming Pool","Pool and Sandset Paver Deck","Ready for Issuance","25285 EAST LENOX CIR, Punta Gorda FL 33950",
"06/07/2021","20210620417","Residential Swimming Pool","Pool & Deck","Ready for Issuance","8104 BOSCO RD, PORT CHARLOTTE FL 33981",
"06/07/2021","20210620373","Residential Swimming Pool","Pool & Deck","Ready for Issuance","2752 MILL CREEK RD, PORT CHARLOTTE FL 33953",
"06/07/2021","20210620358","Residential Swimming Pool","Pool and Deck","Ready for Issuance","150 JACOBSON WAY, PORT CHARLOTTE FL 33954",
"06/07/2021","20210620344","Residential Swimming Pool","INSTALL SWIMMING POOL, PAVER BRICK POOL DECK & EXIT ALARMS","Permit Issued","12476 BACCHUS RD, PORT CHARLOTTE FL 33981",
"06/07/2021","20210620336","Residential Swimming Pool","Pool & Deck","Ready for Issuance","3030 YUKON DR, PORT CHARLOTTE FL 33948",
"06/05/2021","20210620276","Residential Swimming Pool","New Residential Pool, Led Lights, Paver Deck","Permit Issued","43325 WAYMARK PL, Punta Gorda FL 33982",
"06/04/2021","20210620477","Residential Swimming Pool","In-Ground swimming pool w/ exit alarms","Permit Issued","222 LONG MEADOW LN, ROTONDA WEST FL 33947",
"06/04/2021","20210620473","Residential Swimming Pool","In-Ground swimming pool with exit alarms","Awaiting Plans","262 TOURNAMENT RD, ROTONDA WEST FL 33947",
"06/04/2021","20210620269","Residential Swimming Pool","new in ground pool and spa","Permit Issued","16321 PALMETTO ST, Punta Gorda FL 33982",
"06/04/2021","20210620267","Residential Swimming Pool","new in ground pool and spa","Permit Issued","16193 LOTUS WAY, Punta Gorda FL 33982",
"06/04/2021","20210620243","Residential Swimming Pool","inground swimming pool & decking","Permit Issued","3415 DOVER DR, PUNTA GORDA FL 33983",
"06/04/2021","20210620207","Residential Swimming Pool","RESIDENTIAL SWIMMING POOL & DECK","Ready for Issuance","68 CLUBHOUSE TER, ROTONDA WEST FL 33947",
"06/04/2021","20210620168","Residential Swimming Pool","POOL, PATIO AND HEAT PUMP","Permit Issued","13278 IRWIN DR, PORT CHARLOTTE FL 33953",
"06/04/2021","20210620097","Residential Swimming Pool","POOL, PATIO AND HEAT PUMP","Permit Issued","66 MACARTHUR DR, PORT CHARLOTTE FL 33954",
"06/03/2021","20210620066","Residential Swimming Pool","POOL, PATIO AND HEAT PUMP","Permit Issued","17148 CANARY LN, PORT CHARLOTTE FL 33948",
"06/03/2021","20210620053","Residential Swimming Pool","Installing an inground pool and deck","In Review","490 SPANIARDS RD, PLACIDA FL 33946",
"06/03/2021","20210620035","Residential Swimming Pool","Swimming pool & Spa","In Review","13256 WINDCREST DR, PORT CHARLOTTE FL 33953",
"06/03/2021","20210620027","Residential Swimming Pool","Pool, Stemwall and Sandset Paver Deck","Ready for Issuance","10455 COQUINA CT, Placida FL 33946",
"06/03/2021","21TMP-022445","Residential Swimming Pool","The previous builder had build the pool shell, installed all the plumbing, lights, drains and deck. He passed all of his inspections except his life safety and his finial. We installed the pool pump, Filter, Blower and had our electrician wire everything up, install safety alarms on the doors to the pool deck from the house. Than we filled the pool with water and turned everything on. The original pool company would not finish this under any circumstance.",,"17205 BULLHORN CIR, Punta Gorda FL 33982",
"06/03/2021","21TMP-022403","Residential Swimming Pool","swimming pool concrete deck",,"15485 LONGVIEW RD, PORT CHARLOTTE FL 33981",
"06/02/2021","20210619906","Residential Swimming Pool","RESIDENTIAL POOL & SPA - INGROUND - FOOTER PER ENGINEERING","Permit Issued","16209 FOXTAIL CT, Punta Gorda FL 33982",
"06/02/2021","20210619904","Residential Swimming Pool","RESIDENTIAL POOL - INGROUND - FOOTER PER ENGINEERING","Permit Issued","43048 LAKESIDE WAY, Punta Gorda FL 33982",
"06/02/2021","20210619903","Residential Swimming Pool","RESIDENTIAL POOL & SPA - INGROUND - FOOTER PER ENGINEERING","Permit Issued","42247 LAKE TIMBER DR, Punta Gorda FL 33982",
"06/02/2021","20210619847","Residential Swimming Pool","Inground swimming pool, spa & deck","Permit Issued","1872 EAST ISLES RD, Port Charlotte FL 33953",
"06/02/2021","20210619840","Residential Swimming Pool","Inground swimming pool, spa & deck","Ready for Issuance","1878 EAST ISLES RD, Port Charlotte FL 33953",
"06/02/2021","20210619834","Residential Swimming Pool","In-ground pool, deck, equipment, heater","Permit Issued","14397 PONCE DE LEON TRL, Port Charlotte FL 33981",
"06/02/2021","20210619833","Residential Swimming Pool","Inground swimming pool, spa & deck","Ready for Issuance","2201 GARDENIA AVE, Port Charlotte FL 33953",
"06/02/2021","20210619829","Residential Swimming Pool","INSTALL IN GROUND SWIMMING POOL AND DECK","Ready for Issuance","2636 MAURITANIA RD, PUNTA GORDA FL 33983",
"06/02/2021","20210619821","Residential Swimming Pool","Inground swimming pool, spa & deck","Ready for Issuance","14373 PONCE DE LEON TRL, Port Charlotte FL 33981",
"06/02/2021","20210619820","Residential Swimming Pool","V-Zone Pool with Glass Plug","In Review","9741 EAGLE PRESERVE DR, ENGLEWOOD FL 34224",
"06/02/2021","20210619811","Residential Swimming Pool","Pool and Spa - Residential","Permit Issued","43677 TREE TOP TRL, Punta Gorda FL 33982",
"06/02/2021","20210619798","Residential Swimming Pool","Installation of 18' above ground pool","Permit Issued","245 BERTHOUD ST, PORT CHARLOTTE FL 33953",
"06/02/2021","20210619797","Residential Swimming Pool","Construction of Residential Pool and Spa","Permit Issued","43645 TREE TOP TRL, Punta Gorda FL 33982",
"06/02/2021","20210619795","Residential Swimming Pool","Construction of Residential Pool and Spa","Permit Issued","17315 PALMETTO PASS LN, Punta Gorda FL 33982",
"06/02/2021","20210619792","Residential Swimming Pool","Pool and Sandset Paver Deck","Ready for Issuance","2267 PRIVATE CIR, PORT CHARLOTTE FL 33953",
"06/02/2021","20210619785","Residential Swimming Pool","Construction of Residential Pool and Spa","Permit Issued","15807 LEANING PINE LN, Punta Gorda FL 33982",
"06/02/2021","20210619754","Residential Swimming Pool","Pool, Spa, Stemwall and Sandset Paver Deck","Ready for Issuance","13330 GORMAN AVE, PORT CHARLOTTE FL 33981",
"06/02/2021","20210619745","Residential Swimming Pool","New Swimming Pool and SPA Construction","Permit Issued","25377 EAST LENOX CIR, Punta Gorda FL 33950",
"06/01/2021","20210619909","Residential Swimming Pool","IN GROUND POOL","Permit Issued","35 MEDALIST CT, ROTONDA WEST FL 33947",
"06/01/2021","20210619621","Residential Swimming Pool","Install swimming pool","In Review","42347 EDGEWATER DR, Punta Gorda FL 33982",
"06/01/2021","20210619605","Residential Swimming Pool","Pool, Spa and Sandset Paver Deck","Ready for Issuance","365 SEVERIN RD, PORT CHARLOTTE FL 33952",
"05/31/2021","20210619582","Residential Swimming Pool","swimming pool, spa and deck","Permit Issued","5388 WILDER ST, PORT CHARLOTTE FL 33981",
"05/31/2021","20210619581","Residential Swimming Pool","swimming pool concrete deck","Permit Issued","561 SAN AMBROSIO ST, PUNTA GORDA FL 33983",
"05/29/2021","20210519544","Residential Swimming Pool","Pool & Deck","Ready for Issuance","48 CLUBHOUSE CT, ROTONDA WEST FL 33947",
"05/29/2021","20210519543","Residential Swimming Pool","Installing an in ground pool and deck","Ready for Issuance","14421 PONCE DE LEON TRL, Port Charlotte FL 33981",
"05/28/2021","20210519534","Residential Swimming Pool","POOL & PATIO","Permit Issued","14766 LILLIAN CIR, PORT CHARLOTTE FL 33981",
"05/28/2021","20210519473","Residential Swimming Pool","ABOVE GROUND POOL INSTALLATION","Ready for Issuance","3177 SWANEE RD, PORT CHARLOTTE FL 33980",
