"Date","Record Number","Record Type","Project Name","Address","Status","Short Notes",
"04/18/2001","K200101864","Commercial Pool",,"8918 CRIPPLE CREEK AV, BAKERSFIELD CA","Finaled",,
"04/17/2001","K200101833","Commercial Pool",,"2100 AUTUMN ROSE CT, BAKERSFIELD CA","Finaled",,
"04/12/2001","K200101721","Commercial Pool",,"5112 PATTON WY, BAKERSFIELD CA","Finaled",,
"04/05/2001","K200101578","Commercial Pool",,"14104 WESTBURY AV, BAKERSFIELD CA","Finaled",,
"03/16/2001","K200101194","Commercial Pool",,"8008 JILL JEAN AV, BAKERSFIELD CA","Finaled",,
"03/12/2001","K200101111","Commercial Pool",,"11400 LINDALEE LN, BAKERSFIELD CA","Finaled",,
"03/05/2001","K200100997","Commercial Pool",,"2808 ALTURAS DR, BAKERSFIELD CA","Finaled",,
"01/03/2001","K200100038","Commercial Pool",,"15301 MABEL CT, BAKERSFIELD CA","Finaled",,
"01/02/2001","K200100011","Commercial Pool",,"2910 PINECREEK CT, BAKERSFIELD CA","Finaled",,
"12/28/2000","K200006508","Commercial Pool",,"1385 HIGHWAY 58, MOJAVE CA","Finaled",,
"12/12/2000","K200006324","Commercial Pool",,"210 WISEMAN ST, BAKERSFIELD CA","Finaled",,
"10/12/2000","K200005268","Commercial Pool",,"6812 IRON OAK DR, BAKERSFIELD CA","Finaled",,
"09/18/2000","K200004783","Commercial Pool",,"5713 MORAGA CT, BAKERSFIELD CA","Canceled",,
"09/18/2000","K200004781","Commercial Pool",,"629 NETTLE PL, BAKERSFIELD CA","Finaled",,
"08/25/2000","K200004409","Commercial Pool",,"9008 CRIPPLE CREEK AV, BAKERSFIELD CA","Finaled",,
"07/19/2000","K200003767","Commercial Pool",,"19019 MAGNOLIA AV, SHAFTER CA","Finaled",,
"07/05/2000","K200003475","Commercial Pool",,"4601 HIGHLAND HILLS ST, BAKERSFIELD CA","Finaled",,
"06/29/2000","K200003397","Commercial Pool",,"7532 CLIFFORD CT, BAKERSFIELD CA","Finaled",,
"06/23/2000","K200003279","Commercial Pool",,"5013 FRUITVALE AV, BAKERSFIELD CA","Finaled",,
"06/21/2000","K200003230","Commercial Pool",,"9110 OAK HILLS AV, BAKERSFIELD CA","Finaled",,
"06/20/2000","K200003189","Commercial Pool",,"16002 LEGACY CT, BAKERSFIELD CA","Finaled",,
"06/01/2000","K200002805","Commercial Pool",,"14004 SEARSPOINT AV, BAKERSFIELD CA","Finaled",,
"05/26/2000","K200002727","Commercial Pool",,"9024 CRIPPLE CREEK AV, BAKERSFIELD CA","Canceled",,
"05/11/2000","K200002345","Commercial Pool",,"310 MT LOWE DR, BAKERSFIELD CA","Finaled",,
"04/27/2000","K200002057","Commercial Pool",,"800 FAIRWAY DR, BAKERSFIELD CA","Finaled",,
"04/24/2000","K200001972","Commercial Pool",,"6704 NOAH AV, BAKERSFIELD CA","Finaled",,
"04/24/2000","K200001971","Commercial Pool",,"10313 BARON AV, BAKERSFIELD CA","Finaled",,
"04/18/2000","K200001852","Commercial Pool",,"2600 STAGECOACH ST, BAKERSFIELD CA","Finaled",,
"04/06/2000","K200001651","Commercial Pool",,"999999 STANDARD PLANS, BAKERSFIELD CA","Canceled",,
"04/06/2000","K200001650","Commercial Pool",,"3418 GARNET AV, ROSAMOND CA","Finaled",,
"04/06/2000","K200001628","Commercial Pool",,"7800 DAVIN PARK DR, BAKERSFIELD CA","Finaled",,
"03/31/2000","K200001537","Commercial Pool",,"3017 HILLBURN RD, BAKERSFIELD CA","Canceled",,
"03/30/2000","K200001505","Commercial Pool",,"2119 BELINDA ST, BAKERSFIELD CA","Finaled",,
"03/30/2000","K200001504","Commercial Pool",,"3120 RANCHGATE DR, BAKERSFIELD CA","Finaled",,
"03/27/2000","K200001442","Commercial Pool",,"32551 CECIL AV, DELANO CA","Finaled","STND PLN127",
"03/22/2000","K200001399","Commercial Pool",,"3045 JENKINS RD, BAKERSFIELD CA","Finaled",,
"03/21/2000","K200001372","Commercial Pool",,"1856 WEGIS AV, BAKERSFIELD CA","Finaled",,
"03/16/2000","K200001311","Commercial Pool",,"15403 MOONEY AV, BAKERSFIELD CA","Finaled",,
"03/15/2000","K200001285","Commercial Pool",,"16000 STEPHENIE ST, BAKERSFIELD CA","Finaled",,
"03/15/2000","K200001274","Commercial Pool",,"6844 IRON OAK DR, BAKERSFIELD CA","Finaled","TR 5627 LOT 37",
"03/14/2000","K200001268","Commercial Pool",,"13001 KING PALM CT, BAKERSFIELD CA","Finaled",,
"03/14/2000","K200001255","Commercial Pool",,"15300 MOONEY AV, BAKERSFIELD CA","Finaled",,
"03/13/2000","K200001222","Commercial Pool",,"9311 BIRCH CREEK CT, BAKERSFIELD CA","Finaled",,
"03/06/2000","K200001129","Commercial Pool",,"4924 NORTH HILLS DR, BAKERSFIELD CA","Finaled","STN PL141",
"02/17/2000","K200000852","Commercial Pool",,"6312 MIGNONETTE ST, BAKERSFIELD CA","Finaled",,
"02/11/2000","K200000778","Commercial Pool",,"13605 MAUSBACH AV, BAKERSFIELD CA","Finaled","P 2 PM 8317",
"02/02/2000","K200000619","Commercial Pool",,"15815 LEGACY CT, BAKERSFIELD CA","Finaled",,
"01/31/2000","K200000566","Commercial Pool",,"2801 ADEE LN, BAKERSFIELD CA","Finaled",,
"01/25/2000","K200000457","Commercial Pool",,"13340 BLODGET AV, BAKERSFIELD CA","Finaled",,
"01/25/2000","K200000456","Commercial Pool",,"8412 IRON OAK CT, BAKERSFIELD CA","Finaled",,
"01/18/2000","K200000283","Commercial Pool",,"15915 LEGACY CT, BAKERSFIELD CA","Finaled",,
"01/18/2000","K200000272","Commercial Pool",,"14401 WESTDALE DR, BAKERSFIELD CA","Finaled",,
