"Date","Record Number","Record Type","Address","Description","Permit Name","Status","Short Notes",
"02/24/2021","BB-202101327","Residential Pool","2458 RIDGEWOOD RD NW, ATLANTA GA 30318","INSTALL INGROUND CONCRETE POOL","REES POOL","Issued",,
"02/23/2021","BB-202101277","Residential Pool","741 WOODLEY DR NW, ATLANTA GA 30318","INGOUND POOL  /    V 20 189 / SPA / WALLS . DRIVEWAY EXTENSION / GRILL STATION / BAR COUNTER. FIREPIT AND STEPS.","HOLCOM POOL","Routed for Review",,
"02/19/2021","BB-202101213","Residential Pool","2756 HOSEA L WILLIAMS DR NE, ATLANTA GA 30317","IN GROUND POOL / DEMO PORTION OF DRIVEWAY","STRICKLAND POOL","Issued",,
"02/19/2021","BB-202101179","Residential Pool","1842 ALMETA AVE NE, ATLANTA GA 30307","Installation of in-ground swimming pool, spa and firepit.","Pool","Issued",,
"02/18/2021","BB-202101162","Residential Pool","940 PROSPECT AVE SE, ATLANTA GA 30316","CONSTRUCT INGROUND POOL EXTEND DECK STEPS, RETAINING WALL,FENCE,GATE, WALKWAYS,STEPS, CONCRETE STONE PAVEMENT,","POOL/RETAINING WALL/FENCE","Issued",,
"02/18/2021","BB-202101160","Residential Pool","892 ADAIR AVE NE, ATLANTA GA 30306","IN GROUND POOL / DEMO PORTION OF DRIVEWAY","KOEHLER POOL","Issued",,
"02/17/2021","BB-202101095","Residential Pool","507 CHATEAUGAY LN NE, ATLANTA GA 30342","POOL / PAVER DECKING / OUTDOOR LITCHEN AND GRILL","SCHIITT POOL PROJECT","Accepted",,
"02/11/2021","BB-202100995","Residential Pool","1100 ROSEDALE DR NE, ATLANTA GA 30306","REMOVAL OF STONE PATIO,CONCRETE WALLS, STEPS & GRAVEL WALK. CONSTRUCT POOL, RETAINING WALLS,STEPS, PATIO, WALKWAYS","KIRSCH MENDES RESIDENCE","Issued",,
"02/11/2021","BB-202100993","Residential Pool","672 ROSALIA ST SE, ATLANTA GA 30312","Construction of inground concrete swimming pool and spa. V-20-163 CA2S-20-278","Swimming Pool and Spa","Issued",,
"02/10/2021","BB-202100963","Residential Pool","4261 POTTERS WALK NE, ATLANTA GA 30342","Construction of new in-ground pool","Blair Residence Pool","Routed for Review",,
"02/10/2021","BB-202100962","Residential Pool","977 WILDWOOD RD NE, ATLANTA GA 30306","POOL AND SPA","977 WILDWOOD RD POOL","Issued",,
"02/10/2021","BB-202100946","Residential Pool","3882 WIEUCA RD NE, ATLANTA GA 30342","Existing patio to be removed, addition of a pool and spa","GODUTO POOL","Issued",,
"02/05/2021","BB-202100840","Residential Pool","3861 RANDALL RIDGE RD NW, ATLANTA GA 30327","Construct residential pool, 4 foot swing& safety gates","Ernst Residence-Pool","Issued",,
"02/03/2021","BB-202100777","Residential Pool","490 BOULEVARD PL NE, ATLANTA GA 30308","PROPOSED INGROUND SWIMMING POOL","BRADLEY POOL","Issued",,
"02/02/2021","BB-202100733","Residential Pool","2005 PALIFOX DR NE, ATLANTA GA 30307","INGROUND POOL WITH SPA, AND  WALLSF-720","COLE POOL","Posted",,
"02/01/2021","BB-202100724","Residential Pool","430 COCHRAN DR NW, ATLANTA GA 30327","New Pool, Covered patio screened porch","Champney Backyard Pool","Issued",,
"02/01/2021","BB-202100710","Residential Pool","409 KING RD NW, ATLANTA GA 30342","CONSTRUCT TENNIS COURT, LAP POOL WITH HOT & COOL PLUNGES, DRIVEWAY. RETAINING WALLS, WALKS, ASSOCIATED GRADING, AND TREE REMOVAL, GATES COLUMNS AND FENCING.    (V-20-133)","409 KING POOL & TENNIS CT   (V-20-133)","Posted",,
"01/29/2021","BB-202100688","Residential Pool","1615 PELHAM RD NE, ATLANTA GA 30324","New Pool and Pool Deck","Hayes Pool","Issued",,
"01/27/2021","BB-202100618","Residential Pool","4307 RAINTREE LN NW, ATLANTA GA 30327","GRANITE POOL AND SPA","GRANITE POOL AND SPA","Accepted",,
"01/27/2021","BB-202100576","Residential Pool","730 GRESHAM AVE SE, ATLANTA GA 30316","Installation of in-ground swimming pool","Swimming Pool","Accepted",,
"01/26/2021","BB-202100566","Residential Pool","3906 CLUB DR NE, ATLANTA GA 30319","Installation of 18'x36' pool with sun deck","Sloope","Issued",,
"01/26/2021","BB-202100563","Residential Pool","916 WINALL DOWN RD NE, ATLANTA GA 30319","INSTALLATION OF A 20'X 31' POOL WITH 6' X 7' SPA. PROPOSED RETAINING WALL EXTENSION TO RETAINING WALL.","POOL - 916 WINALL DOWN ROAD","Issued",,
"01/26/2021","BB-202100550","Residential Pool","2711 PHARR RD NE, ATLANTA GA 30317","Installation of swimming pool and spa; firepit and 24"" wall.","Swimming Pool / Firepit / Wall","Issued",,
"01/26/2021","BB-202100549","Residential Pool","3246 EAST WOOD VALLEY RD NW, ATLANTA GA 30327","Installation of inground swimming pool","Swimming Pool","Issued",,
"01/26/2021","BB-202100546","Residential Pool","1024 SOMERSET DR NW, ATLANTA GA 30327","NEW RESIDENTIAL POOL","SFR - CAMPBELL POOL","Issued",,
"01/25/2021","BB-202100536","Residential Pool","551 OAKLAND AVE SE, ATLANTA GA 30312","NEW CAST IN PLACE CONCRETE POOL, POOL EQUIPMENT, TERRACE, PRIVACT FENCE AND LANDSCAPING     (CA2S-21-010)","POOL   (CA2S-21-010)","Issued",,
"01/25/2021","BB-202100513","Residential Pool","822 OAKDALE RD NE, ATLANTA GA 30307","New pool, pool house, and 2 car garage accessory structure to be added to rear yard of sfr.  (CA3-20-225)","822 Oakdale Pool house (CA3-20-225)","Issued",,
"01/21/2021","BB-202100463","Residential Pool","3084 ARDEN RD NW, ATLANTA GA 30305","Replace rear terrace in-kind, construct new pool and retaining wall in rear of property","Pool/Retaining Wall/Terrace","Issued",,
"01/21/2021","BB-202100424","Residential Pool","1960 KILBURN DR NE, ATLANTA GA 30324","POOL / 1 BED  /  1 BATH ADDITION","STOLL RESIDENCE","Issued",,
"01/20/2021","BB-202100406","Residential Pool","44 WYMAN ST NE, ATLANTA GA 30317","POOL","REYNOLDS POOL","Issued",,
"01/19/2021","BB-202100382","Residential Pool","1331 WESLEY PKWY NW, ATLANTA GA 30327","POOL","WESLEY PKWY HOLDING 2 LLC","Routed for Review",,
"01/19/2021","BB-202100381","Residential Pool","1345 WESLEY PKWY NW, ATLANTA GA 30327","NEW POOL","WESLEY PKWY HOLDINGS 3 LLC","Routed for Review",,
"01/19/2021","BB-202100355","Residential Pool","1710 ADAMS DR SW, ATLANTA GA 30311","IN GROUND POOL / SPA","JEFFERSON POOL","Issued",,
"01/14/2021","BB-202100306","Residential Pool","1720 FLAT SHOALS RD SE, ATLANTA GA 30316","Swimming pool addition to the existing house and property V-20-128","New Pool","Issued",,
"01/14/2021","BB-202100298","Residential Pool","3084 WEST ROXBORO RD NE, ATLANTA GA 30324","INGROUND CONCRETE SWIMMING POOL, SPA, STONE PATIO, RETAINING WALLS, 24"" HT, POOL EQUIPMENT, FENCE & TREE REMOVAL","POOL","Issued",,
"01/14/2021","BB-202100296","Residential Pool","3026 WEST ROXBORO RD NE, ATLANTA GA 30324","IN-GROUND CONCRETE SWIMMING POOL, SPA, RETAINING WALLS, 48"" HT, POOL EQUIPMENT, STONE PATIO ADD","POOL","Issued",,
"01/13/2021","BB-202100288","Residential Pool","454 LORIDANS DR NE, ATLANTA GA 30342","Construct new pool, spa, patio, and driveway extension  (V-20-105)","Sherif Pool  (V-20-105)","Denied Plan Revisions Required",,
"01/13/2021","BB-202100274","Residential Pool","996 ROSEDALE RD NE, ATLANTA GA 30306","POOL / POOL DECK / CABANA / OUTDOOR KITCHEN / BATHROOM","DINERMAN","Issued",,
"01/12/2021","BB-202100262","Residential Pool","4261 BEVERLY LN NE, ATLANTA GA 30342","610sqft swimming pool 8' spa and pool deck, retaining wall","Didia","Issued",,
"01/12/2021","BB-202100259","Residential Pool","1000 WYLIE ST SE, ATLANTA GA 30316","Construction of an inground swimming pool, spa and pool deck.","Stagnaro Swimming Pool","Accepted",,
"01/12/2021","BB-202100251","Residential Pool","1275 BEECH VALLEY RD NE, ATLANTA GA 30306","New addition of garage with screened porch. swimming pool with spa (V-18-22)","Crafford Garage and Pool","Posted",,
"01/12/2021","BB-202100250","Residential Pool","671 COURTENAY DR NE, ATLANTA GA 30306","POOL / STEPPING STONES/ DRIVEWAY EXTENSION","NEW POOL","Routed for Review",,
"01/12/2021","BB-202100232","Residential Pool","1445 WEST WESLEY RD NW, ATLANTA GA 30327","New Pool, Pool deck, Fence, New walls at pool","New Pool","Accepted",,
"01/11/2021","BB-202100226","Residential Pool","3197 CHATEAU CT NW, ATLANTA GA 30305","Inground pool installation; 24 inch wall installation; pool patio installation.","Pool / Patio","Issued",,
"01/09/2021","BB-202100202","Residential Pool","1052 SOMERSET DR NW, ATLANTA GA 30327","INGROUND POOL AND SPA AND POOL PATIO/ DECKING","SFR - POOL","Issued",,
"01/09/2021","BB-202100201","Residential Pool","2731 RIDGEWOOD RD NW, ATLANTA GA 30327","CONSTRUCTION OF REPLACEMENT POOL(NEW SFR BB-201904997)","SFR - POOL","Posted",,
"01/08/2021","BB-202100180","Residential Pool","956 BUCKINGHAM CIR NW, ATLANTA GA 30327","NEW NGROUND SWIMMING POOL WITH DECKING","POOL - 956 BUCKINGHAM CIRCLE","Posted",,
"01/08/2021","BB-202100176","Residential Pool","617 LORIDANS DR NE, ATLANTA GA 30342","BUILD NEW RESIDENTIAL SWIMMING POOL","SUGARMAN POOL","Issued",,
"01/08/2021","BB-202100172","Residential Pool","3150 ARDEN RD NW, ATLANTA GA 30305","NEW IN GROUND POOL","BLAKENBECLERLER POOL","Issued",,
"01/08/2021","BB-202100169","Residential Pool","184 WESTMINSTER DR NE, ATLANTA GA 30309","NEW POOL","POOL","Routed for Review",,
"01/07/2021","BB-202100155","Residential Pool","51 CARLTON DR NE, ATLANTA GA 30342","Inground pool and pool patio (All other improvements are by others)","LEWIS POOL","Issued",,
"01/07/2021","BB-202100152","Residential Pool","1441 WEST WESLEY RD NW, ATLANTA GA 30327","New Pool 15 X 30 with pool deck and 5' fence; black aluminum and gate.","POOL/DECK/FENCE","Routed for Review",,
"01/06/2021","BB-202100121","Residential Pool","457 BRYN MAWR LN NW, ATLANTA GA 30327","INGROUND POOL AND SPA, 24 INCH BLOCK WALL, POOL FENCE.","CAPERS POOL (V-20-144)","Issued",,
"01/06/2021","BB-202100118","Residential Pool","4360 EAST CONWAY DR NW, ATLANTA GA 30327","Construction of concrete inground swimming pool for residential home.","Elchahal Residence","Issued",,
"01/05/2021","BB-202100081","Residential Pool","490 EAST SIDE AVE SE, ATLANTA GA 00000","Install inground concrete swimming pool, spa, pool deckm equipment pad and rain garden","Shinabarger Pool & Spa","Issued",,
"01/04/2021","BB-202100016","Residential Pool","1147 ORME CIR NE, ATLANTA GA 30306","PROVIDE LABOR AND MATERIALS TO CONSTRUCT A 30' x 15' SWIMMING POOL - GUNITE","KAUFMAN POOL","Issued",,
"12/27/2020","BB-202007885","Residential Pool","1336 LANIER BLVD NE, ATLANTA GA 30306","NEW POOL AND DECKING; INSTALL STRUCTURAL SUPPORT FOR EXISTING PATIO NEAR AREA OF PROPOSED POOL; SCREEN PORCH EXTENSION","POOL - 1336 LANIER BLVD","Issued",,
"12/23/2020","BB-202007877","Residential Pool","1806 GLENAIRE CT SE, ATLANTA GA 30316","Installation of 15x30 inground pool","Pool","Issued",,
"12/22/2020","BB-202007849","Residential Pool","1110 RICE ST NW, ATLANTA GA 30318","CONSTRUCT SWIMMING POOL 28X14 REMOVE/BUILD DECK","JARVIS LAKEMAKER POOL","Issued",,
"12/22/2020","BB-202007847","Residential Pool","923 BUCKINGHAM CIR NW, ATLANTA GA 30327","Demolish 330sf stone patio, porch area, and 580 sf parking pad.  Construct 40x18 pool with inset spa","Moore Pool","Issued",,
"12/21/2020","BB-202007816","Residential Pool","4146 PARAN PINES DR NW, ATLANTA GA 30327","POOL , REDO DRIVEWAY AND WALKWAY  AND RENOVATION","ADDITION . RENOVATION AND POOL","Issued",,
"12/21/2020","BB-202007807","Residential Pool","1635 LOCH LOMOND TRL SW, ATLANTA GA 30331","NEW POOL","1635 LOCH LOMOND TRL","Issued",,
"12/18/2020","BB-202007759","Residential Pool","1065 WEST PACES FERRY RD NW, ATLANTA GA 30327","REMOVE EXISTING POOL AND REPLACE WITH NEW SWIMMING POOL.","SWIMMING POOL","Issued",,
