"Date","Record Number","Record Type","Address","Description","Permit Name","Status","Short Notes",
"02/28/2017","BB-201701505","Commercial Pool","3030 OLD DECATUR RD NE, ATLANTA GA 30305","INSTALL NEW  IN-GROUND COMMERCIAL SWIMMING POOL. (ADDRESS: 400 PHARR RD AKA 3030 OLD DECATUR RD).","NEW SWIMMING POOL","Issued",,
"01/24/2017","BB-201700584","Commercial Pool","19 WEATHERBY ST SE, ATLANTA GA 30316","INSTALL NEW SWIMMING POOL AND POOL DECK. ADD RETAINING WALL.","POOL","Routed for Review",,
"10/28/2016","BB-201607277","Commercial Pool","903 HUFF RD NW, ATLANTA GA 30318","Install new swimming pool with 6'-0"" high protective gate barrier on top of existing parking deck at Level-6..","WESTSIDE HEIGHTS: SWIMMING POOL","Complete",,
"10/20/2016","BB-201607075","Commercial Pool","707 PARK AVE NE, ATLANTA GA","Install new amenity swimming pool to commercial buildingUpdated 7-25-2017 Mechanical, Electrical, Plumbing Included.","PHIPPS PLAZA LOFT:  SWIMMING POOL","Complete",,
"10/11/2016","BB-201606828","Commercial Pool","690 LINDBERGH DR NE, ATLANTA GA 30324","Install Commercial Pool","Lindbergh Overture - Pool","Routed for Review",,
"10/11/2016","BB-201606823","Commercial Pool","144 MORELAND AVE NE, ATLANTA GA 30307","Elan 144: INSTALL NEW SWIMMING POOL FOR APARTMENT COMPLEX","Elan 144: INSTALL NEW SWIMMING POOL","Terminated",,
"08/12/2016","BB-201605359","Commercial Pool","3450 ROXBORO RD NE, ATLANTA GA 30326","New inground pool, deck and system","Amil City Place A - Pool","Complete",,
"08/08/2016","BB-201605230","Commercial Pool","464 BISHOP ST NW, ATLANTA GA 30318","464 BISHOP APARTMENTS: INSTALL NEW SHOTCRETE SWIMMING POOL. ***NOTE: THE ADJACENT POOL DECK, POOL BARRIER AND HARDSCAPES INSTALLED BY OTHERS.***","464 BISHOP APARTMENTS: SWIMMING POOL","Complete",,
"08/02/2016","BB-201605106","Commercial Pool","664 SEMINOLE AVE NE, ATLANTA GA 30307","Install new pool in courtyard of multi-family development.","NEW SWIMMING POOL: 675 NORTH HIGHLAND","Complete",,
"07/13/2016","BB-201604687","Commercial Pool","811 JUNIPER ST NE, ATLANTA GA 30308","New elevated whirlpool and system on top of parking deck","NEW SWIMMING POOL","Complete",,
"07/11/2016","BB-201604611","Commercial Pool","608 RALPH MCGILL BLVD NE, ATLANTA GA 30312","Install new elevated swimming pool (2,116 sf) and system.","Old Forth Ward Apartments: Swimming Pool","Issued",,
"07/11/2016","BB-201604608","Commercial Pool","720 RALPH MCGILL BLVD NE, ATLANTA GA 30308","Installation ct 1,535 complete swimming pool on top of parking deck","Anthem on Ashley: New Swimming Pool","Complete",,
"06/27/2016","BB-201604362","Commercial Pool","410 FELTON DR NE, ATLANTA GA 30312","Central Park Townhomes-Pool & Concrete Deck","Central Park Townhomes-Pool","Complete",,
